
Valores Encontrados:

	Tmax: 0.319246.3
	H: 1.000
	L: 1.000
	t1: 0.562
	t0: 0.051
	L1: 0.000
	L0: 0.347
	alfa1: 1.000


Simulated Annealing...

Diagnostic information.
	objective function = @sa_cav_y_2dof
	X0 = [  0.001 1 ]
Modified options:
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 100
	options.Display = 'diagnose'
	options.DisplayInterval = 1 
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1       0.319246       0.319246            100
     1          2       0.319246       0.319246             50
     2          3       0.272402       0.272402        33.3333
     3          4       0.108571       0.108571             25
     4          5       0.108571       0.108571             20
     5          6       0.108571       0.108571        16.6667
     6          7       0.108571       0.226721        14.2857
     7          8       0.108571       0.314653           12.5
     8          9       0.108571       0.314653        11.1111
     9         10       0.108571       0.314653             10
    10         11       0.108571       0.241062        9.09091
    11         12       0.108571       0.274785        8.33333
    12         13       0.108571       0.269918        7.69231
    13         14       0.108571       0.268246        7.14286
    14         15       0.108571       0.268246        6.66667
    15         16       0.108571       0.268246           6.25
    16         17       0.108571       0.204577        5.88235
    17         18      0.0876496      0.0876496        5.55556
    18         19      0.0861363      0.0861363        5.26316
    19         20      0.0861363      0.0861363              5
    20         21      0.0861363       0.226772         4.7619
    21         22      0.0861363       0.149357        4.54545
    22         23      0.0861363       0.149357        4.34783
    23         24      0.0861363       0.137452        4.16667
    24         25      0.0861363       0.137452              4
    25         26      0.0861363       0.094854        3.84615
    26         27      0.0861363       0.094854         3.7037
    27         28      0.0861363       0.267556        3.57143
    28         29      0.0861363       0.267556        3.44828
    29         30      0.0861363       0.266577        3.33333
    30         31      0.0861363       0.244434        3.22581

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0861363       0.198657          3.125
    32         33      0.0861363       0.163755         3.0303
    33         34      0.0861363       0.163755        2.94118
    34         35      0.0861363       0.147041        2.85714
    35         36      0.0861363        0.14482        2.77778
    36         37      0.0861363        0.14482         2.7027
    37         38      0.0861363        0.19963        2.63158
    38         39      0.0861363       0.129983         2.5641
    39         40      0.0861363       0.207303            2.5
    40         41      0.0861363       0.220983        2.43902
    41         42      0.0804461      0.0804461        2.38095
    42         43      0.0685413      0.0685413        2.32558
    43         44      0.0685413      0.0685413        2.27273
    44         45      0.0685413      0.0685413        2.22222
    45         46      0.0685413      0.0685413        2.17391
    46         47      0.0675175      0.0675175        2.12766
    47         48      0.0675175      0.0675175        2.08333
    48         49      0.0675175       0.317591        2.04082
    49         50      0.0675175       0.138962              2
    50         51      0.0675175       0.211837        1.96078
    51         52      0.0675175       0.184273        1.92308
    52         53      0.0675175       0.162996        1.88679
    53         54      0.0675175       0.143384        1.85185
    54         55      0.0675175      0.0960232        1.81818
    55         56      0.0675175      0.0960232        1.78571
    56         57      0.0675175       0.119513        1.75439
    57         58      0.0675175       0.132327        1.72414
    58         59      0.0675175        0.15252        1.69492
    59         60      0.0675175        0.15252        1.66667
    60         61      0.0675175        0.15252        1.63934

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0675175      0.0889298         1.6129
    62         63      0.0675175      0.0889298         1.5873
    63         64      0.0675175      0.0889298         1.5625
    64         65      0.0675175       0.120162        1.53846
    65         66      0.0675175       0.120162        1.51515
    66         67      0.0675175       0.120162        1.49254
    67         68      0.0675175       0.120162        1.47059
    68         69      0.0675175       0.120162        1.44928
    69         70      0.0675175       0.120162        1.42857
    70         71      0.0675175      0.0949804        1.40845
    71         72      0.0675175      0.0949804        1.38889
    72         73      0.0675175      0.0913766        1.36986
    73         74      0.0675175      0.0700327        1.35135
    74         75      0.0675175        0.25784        1.33333
    75         76      0.0675175       0.135857        1.31579
