\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  0.5 180 0.002 1.26 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempboltzexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2        1.17069        1.17069         144.27
     2          3       0.433393       0.433393        91.0239
     3          4      0.0973597      0.0973597        72.1348
     4          5      0.0973597       0.173328        62.1335
     5          6      0.0973597       0.246645        55.8111
     6          7      0.0973597       0.131877        51.3898
     7          8      0.0930544      0.0930544        48.0898
     8          9      0.0930544       0.409287         45.512
     9         10      0.0930544       0.301145        43.4294
    10         11      0.0930544        1.75616        41.7032
    11         12      0.0930544        0.12497         40.243
    12         13      0.0930544        0.12497        38.9871
    13         14      0.0930544        0.12497        37.8923
    14         15      0.0930544       0.996081        36.9269
    15         16      0.0930544       0.187459        36.0674
    16         17      0.0930544        1.29216        35.2956
    17         18      0.0930544       0.127237        34.5976
    18         19      0.0930544       0.154366        33.9623
    19         20      0.0930544        1.00964        33.3808
    20         21      0.0878174      0.0878174        32.8459
    21         22      0.0878174      0.0878174        32.3515
    22         23      0.0878174      0.0878174        31.8929
    23         24      0.0878174        4.07934        31.4658
    24         25      0.0878174        4.31145        31.0667
    25         26      0.0878174        5.91589        30.6928
    26         27      0.0878174         4.2473        30.3413
    27         28      0.0878174         4.2473        30.0102
[Warning: Unable to complete the meshing step. Please try the alternate mesher version that can be selected in pdetool using the Mesh Parameters dialog or in the initmesh function using
the 'MesherVersion', 'R2013a' option.] 
    28         29      0.0878174         4.2473        29.6974
    29         30      0.0878174        5.03374        29.4014
    30         31      0.0878174        1.32868        29.1207
