\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  10 17 0.007 1.29 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempboltzexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 25
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2            Inf            Inf         144.27
     2          3            Inf            Inf        91.0239
     3          4       0.462637       0.462637        72.1348
     4          5       0.462637       0.462637        62.1335
     5          6       0.462637       0.462637        55.8111
     6          7       0.462637       0.462637        51.3898
     7          8       0.462637       0.462637        48.0898
     8          9       0.462637       0.462637         45.512
     9         10       0.462637       0.462637        43.4294
    10         11       0.462637       0.462637        41.7032
    11         12       0.462637       0.462637         40.243
    12         13       0.144613       0.144613        38.9871
    13         14       0.144613       0.144613        37.8923
    14         15       0.144613       0.144613        36.9269
    15         16       0.144613       0.144613        36.0674
    16         17       0.144613       0.144613        35.2956
    17         18       0.144613       0.144613        34.5976
    18         19       0.113842       0.113842        33.9623
    19         20       0.113842       0.113842        33.3808
    20         21       0.113842       0.113842        32.8459
    21         22       0.113842       0.113842        32.3515
    22         23      0.0876105      0.0876105        31.8929
    23         24      0.0876105      0.0876105        31.4658
    24         25      0.0876105      0.0876105        31.0667
    25         26      0.0876105      0.0876105        30.6928
    26         27      0.0876105      0.0876105        30.3413
    27         28      0.0876105        1.45469        30.0102
    28         29      0.0876105        1.45469        29.6974
    29         30      0.0876105        1.45469        29.4014
    30         31      0.0876105        1.45469        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0876105        1.45469        28.8539
    32         33      0.0876105        1.45469           28.6
    33         34      0.0876105        1.45469        28.3578
    34         35      0.0876105        1.45469        28.1266
    35         36      0.0876105        1.45469        27.9055
    36         37      0.0876105        1.45469        27.6938
    37         38      0.0876105        1.45469        27.4908
    38         39      0.0876105        1.45469        27.2958
    39         40      0.0876105        1.18768        27.1085
    40         41      0.0876105        1.18768        26.9283
    41         42      0.0876105        1.18768        26.7546
    42         43      0.0876105         1.1248        26.5873
    43         44      0.0876105       0.120473        26.4257
