\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 11 0.7 1.15 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 5 
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1       0.122908       0.122908            100
     1          2       0.122908       0.122908             50
     2          3       0.122908       0.122908        33.3333
     3          4       0.122908       0.122908             25
     4          5       0.122908       0.122908             20
     5          6       0.122908       0.122908        16.6667
     6          7       0.122908       0.122908        14.2857
     7          8       0.122908       0.122908           12.5
     8          9       0.122908       0.170659        11.1111
     9         10       0.122908       0.170659             10
    10         11       0.122908       0.213798        9.09091
    11         12       0.122908       0.137267        8.33333
    12         13       0.122908       0.137267        7.69231
    13         14       0.122908       0.137267        7.14286
*   14         15       0.122908       0.142268            100
    15         16       0.122908       0.142268             50
    16         17       0.122908       0.142268        33.3333
    17         18       0.122908       0.142268             25
    18         19       0.122908       0.142268             20
    19         20       0.122908       0.142268        16.6667
    20         21       0.122908       0.172043        14.2857
    21         22       0.122908       0.172043           12.5
    22         23       0.122908       0.172043        11.1111
    23         24       0.122908       0.172043             10
    24         25       0.115832       0.115832        9.09091
    25         26       0.115832       0.137824        8.33333
    26         27       0.115832       0.137824        7.69231
    27         28       0.115832       0.191287        7.14286
    28         29       0.115832       0.191287        6.66667
*   29         30       0.115832       0.131736            100
    30         31       0.115832       0.131736             50

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32       0.115832       0.480667        33.3333
    32         33       0.115832       0.480667             25
    33         34       0.103162       0.103162             20
    34         35       0.103162        0.27943        16.6667
    35         36       0.103162       0.285869        14.2857
*   36         37       0.103162       0.159297            100
    37         38       0.103162       0.159297             50
    38         39       0.103162       0.159297        33.3333
    39         40       0.103162       0.135257             25
    40         41       0.103162       0.135257             20
    41         42       0.103162       0.135257        16.6667
    42         43       0.103162       0.143559        14.2857
    43         44       0.103162       0.143559           12.5
    44         45       0.103162       0.143559        11.1111
    45         46       0.103162       0.143559             10
    46         47       0.103162       0.128396        9.09091
    47         48       0.103162        0.12297        8.33333
    48         49       0.103162        0.12297        7.69231
*   49         50        0.10316        0.10316            100
    50         51        0.10316        0.10316             50
    51         52        0.10316        0.10316        33.3333
    52         53        0.10316        0.10316             25
    53         54        0.10316        0.10316             20
    54         55        0.10316        0.10316        16.6667
    55         56        0.10316       0.512547        14.2857
    56         57        0.10316       0.512547           12.5
    57         58        0.10316       0.512547        11.1111
    58         59        0.10316       0.512547             10
    59         60        0.10316       0.512547        9.09091
    60         61        0.10316        0.13193        8.33333

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62        0.10316        0.13193        7.69231
    62         63        0.10316        0.13193        7.14286
    63         64        0.10316       0.247148        6.66667
    64         65        0.10316       0.136181           6.25
*   65         66        0.10316       0.342897            100
    66         67        0.10316       0.342897             50
    67         68        0.10316       0.342897        33.3333
    68         69        0.10316        0.16822             25
    69         70        0.10316        0.16822             20
    70         71        0.10316        0.16822        16.6667
    71         72        0.10316        0.16822        14.2857
    72         73        0.10316        0.16822           12.5
    73         74        0.10316        0.16822        11.1111
    74         75        0.10316        0.16822             10
    75         76        0.10316       0.495918        9.09091
    76         77        0.10316       0.495918        8.33333
    77         78        0.10316       0.495918        7.69231
    78         79        0.10316       0.130459        7.14286
    79         80        0.10316        0.12395        6.66667
    80         81        0.10316        0.12395           6.25
    81         82        0.10316        0.12395        5.88235
*   82         83        0.10316         0.1114            100
    83         84        0.10316         0.1114             50
    84         85        0.10316         0.1114        33.3333
    85         86        0.10316         0.1114             25
    86         87        0.10316         0.1114             20
    87         88        0.10316         0.1114        16.6667
    88         89        0.10316         0.1114        14.2857
    89         90        0.10316         0.1114           12.5
    90         91        0.10316         0.1114        11.1111

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92        0.10316         0.1114             10
    92         93        0.10316       0.117818        9.09091
    93         94        0.10316       0.117818        8.33333
    94         95        0.10316       0.310263        7.69231
    95         96        0.10316       0.413294        7.14286
    96         97        0.10316       0.413294        6.66667
    97         98        0.10316       0.413294           6.25
