\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 4 0.005 1.1 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureboltz
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 5 
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1       0.197082       0.197082            100
     1          2       0.197082       0.197082         144.27
     2          3       0.197082       0.197082        91.0239
     3          4       0.197082       0.197082        72.1348
     4          5       0.197082       0.197082        62.1335
     5          6       0.197082       0.197082        55.8111
     6          7       0.197082       0.197082        51.3898
     7          8       0.197082       0.197082        48.0898
     8          9       0.197082       0.197082         45.512
     9         10       0.197082       0.336274        43.4294
    10         11       0.197082       0.336274        41.7032
    11         12      0.0903226      0.0903226         40.243
    12         13      0.0903226      0.0903226        38.9871
    13         14      0.0903226      0.0903226        37.8923
    14         15      0.0903226      0.0903226        36.9269
    15         16      0.0903226      0.0903226        36.0674
    16         17      0.0903226      0.0903226        35.2956
    17         18      0.0903226      0.0903226        34.5976
    18         19      0.0903226      0.0903226        33.9623
    19         20      0.0903226      0.0903226        33.3808
    20         21      0.0903226      0.0903226        32.8459
    21         22      0.0903226      0.0903226        32.3515
    22         23      0.0903226      0.0903226        31.8929
    23         24      0.0903226      0.0903226        31.4658
    24         25      0.0903226      0.0903226        31.0667
    25         26      0.0903226      0.0903226        30.6928
    26         27      0.0903226      0.0903226        30.3413
    27         28      0.0903226      0.0903226        30.0102
    28         29      0.0903226      0.0903226        29.6974
    29         30      0.0903226      0.0903226        29.4014
    30         31      0.0903226      0.0903226        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0903226      0.0903226        28.8539
    32         33      0.0903226      0.0903226           28.6
    33         34      0.0903226      0.0903226        28.3578
    34         35      0.0903226      0.0903226        28.1266
    35         36      0.0903226      0.0903226        27.9055
    36         37      0.0903226      0.0903226        27.6938
    37         38      0.0903226      0.0903226        27.4908
    38         39      0.0903226      0.0903226        27.2958
    39         40      0.0903226      0.0903226        27.1085
    40         41      0.0903226      0.0903226        26.9283
    41         42      0.0903226      0.0903226        26.7546
    42         43      0.0903226      0.0903226        26.5873
    43         44      0.0903226      0.0903226        26.4257
    44         45      0.0903226      0.0903226        26.2697
    45         46      0.0903226      0.0903226        26.1189
    46         47      0.0903226      0.0903226         25.973
    47         48      0.0903226      0.0903226        25.8318
    48         49      0.0903226      0.0903226        25.6949
    49         50      0.0903226      0.0903226        25.5622
    50         51      0.0903226      0.0903226        25.4335
    51         52      0.0903226      0.0903226        25.3085
    52         53      0.0903226      0.0903226        25.1871
    53         54      0.0903226      0.0903226         25.069
    54         55      0.0903226      0.0903226        24.9543
    55         56      0.0903226      0.0903226        24.8425
    56         57      0.0903226      0.0903226        24.7338
    57         58      0.0903226      0.0903226        24.6279
    58         59      0.0903226      0.0903226        24.5246
