\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  20 30 0.001 1.09 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempboltzexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 5 
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2            Inf            Inf         144.27
     2          3            Inf            Inf        91.0239
     3          4            Inf            Inf        72.1348
     4          5            Inf            Inf        62.1335
     5          6            Inf            Inf        55.8111
     6          7            Inf            Inf        51.3898
     7          8            Inf            Inf        48.0898
     8          9            Inf            Inf         45.512
     9         10            Inf            Inf        43.4294
    10         11            Inf            Inf        41.7032
    11         12            Inf            Inf         40.243
    12         13            Inf            Inf        38.9871
    13         14            Inf            Inf        37.8923
    14         15            Inf            Inf        36.9269
    15         16            Inf            Inf        36.0674
    16         17            Inf            Inf        35.2956
    17         18            Inf            Inf        34.5976
    18         19            Inf            Inf        33.9623
    19         20            Inf            Inf        33.3808
    20         21            Inf            Inf        32.8459
    21         22            Inf            Inf        32.3515
    22         23            Inf            Inf        31.8929
    23         24            Inf            Inf        31.4658
    24         25            Inf            Inf        31.0667
    25         26            Inf            Inf        30.6928
    26         27            Inf            Inf        30.3413
    27         28            Inf            Inf        30.0102
    28         29            Inf            Inf        29.6974
    29         30            Inf            Inf        29.4014
    30         31            Inf            Inf        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32            Inf            Inf        28.8539
    32         33            Inf            Inf           28.6
    33         34            Inf            Inf        28.3578
    34         35            Inf            Inf        28.1266
    35         36            Inf            Inf        27.9055
    36         37            Inf            Inf        27.6938
    37         38            Inf            Inf        27.4908
    38         39            Inf            Inf        27.2958
    39         40            Inf            Inf        27.1085
    40         41            Inf            Inf        26.9283
    41         42            Inf            Inf        26.7546
    42         43            Inf            Inf        26.5873
    43         44            Inf            Inf        26.4257
    44         45            Inf            Inf        26.2697
    45         46            Inf            Inf        26.1189
    46         47            Inf            Inf         25.973
    47         48            Inf            Inf        25.8318
    48         49            Inf            Inf        25.6949
    49         50            Inf            Inf        25.5622
    50         51            Inf            Inf        25.4335
