\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  10 200 0.002 1.39 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 5 
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2            Inf            Inf          90.25
     2          3            Inf            Inf        85.7375
     3          4       0.149089       0.149089        81.4506
     4          5       0.149089       0.149089        77.3781
     5          6       0.149089       0.149089        73.5092
     6          7       0.149089       0.149089        69.8337
     7          8       0.149089       0.149089         66.342
     8          9       0.149089       0.149089        63.0249
     9         10       0.149089       0.149089        59.8737
    10         11       0.149089       0.149089          56.88
    11         12       0.149089       0.149089         54.036
    12         13       0.149089       0.149089        51.3342
    13         14       0.149089       0.149089        48.7675
    14         15       0.149089       0.255551        46.3291
    15         16       0.149089       0.255551        44.0127
    16         17       0.145487       0.145487         41.812
*   17         18       0.134403       0.134403             95
    18         19       0.134403       0.134403          90.25
    19         20       0.134403       0.134403        85.7375
    20         21       0.134403       0.134403        81.4506
    21         22       0.134403       0.134403        77.3781
    22         23       0.134403       0.134403        73.5092
    23         24       0.134403       0.134403        69.8337
    24         25       0.134403       0.134403         66.342
    25         26       0.134403       0.134403        63.0249
    26         27       0.134403       0.134403        59.8737
    27         28       0.134403       0.134403          56.88
    28         29       0.134403       0.134403         54.036
    29         30       0.134403       0.134403        51.3342
    30         31       0.134403       0.134403        48.7675

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32       0.134403       0.134403        46.3291
    32         33       0.134403       0.134403        44.0127
    33         34       0.134403       0.134403         41.812
    34         35       0.134403       0.134403        39.7214
    35         36       0.134403       0.146966        37.7354
    36         37       0.134403       0.146966        35.8486
    37         38       0.134403       0.146966        34.0562
    38         39       0.134403       0.146966        32.3534
    39         40       0.134403       0.146966        30.7357
    40         41       0.134403       0.146966        29.1989
    41         42       0.134403       0.146966         27.739
    42         43       0.134403       0.146966         26.352
    43         44       0.131132       0.131132        25.0344
    44         45       0.131132       0.131132        23.7827
    45         46       0.131132       0.131132        22.5936
    46         47       0.131132       0.131132        21.4639
    47         48       0.131132       0.131132        20.3907
    48         49       0.117845       0.117845        19.3711
    49         50      0.0933764      0.0933764        18.4026
*   50         51      0.0933764        1.21663             95
    51         52      0.0933764        1.21663          90.25
    52         53      0.0933764        1.13363        85.7375
    53         54      0.0933764        1.13363        81.4506
    54         55      0.0933764        1.13363        77.3781
    55         56      0.0933764        1.13363        73.5092
    56         57      0.0933764        1.13363        69.8337
    57         58      0.0933764        1.13363         66.342
    58         59      0.0933764        1.13363        63.0249
    59         60      0.0933764        1.13363        59.8737
    60         61      0.0933764        1.13363          56.88

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0933764        1.13363         54.036
    62         63      0.0933764        1.13363        51.3342
    63         64      0.0933764        1.13363        48.7675
    64         65      0.0933764        1.13363        46.3291
    65         66      0.0933764       0.158361        44.0127
    66         67      0.0933764       0.158361         41.812
    67         68      0.0933764       0.158361        39.7214
    68         69      0.0933764       0.158361        37.7354
    69         70      0.0933764        0.40324        35.8486
    70         71      0.0933764       0.156347        34.0562
*   71         72      0.0933764       0.131391             95
    72         73      0.0933764       0.131391          90.25
    73         74      0.0933764       0.131391        85.7375
    74         75      0.0933764       0.131391        81.4506
    75         76      0.0933764       0.131391        77.3781
    76         77      0.0933764       0.131391        73.5092
    77         78      0.0933764       0.131391        69.8337
    78         79      0.0933764       0.131391         66.342
    79         80      0.0933764       0.131391        63.0249
    80         81      0.0933764       0.131391        59.8737
    81         82      0.0933764       0.131391          56.88
    82         83      0.0933764       0.131391         54.036
    83         84      0.0933764       0.131391        51.3342
    84         85      0.0933764       0.131391        48.7675
    85         86      0.0933764       0.171586        46.3291
    86         87      0.0933764       0.171586        44.0127
    87         88      0.0933764       0.171586         41.812
    88         89      0.0933764       0.112551        39.7214
    89         90      0.0933764       0.319466        37.7354
    90         91      0.0933764       0.319466        35.8486

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0933764       0.319466        34.0562
    92         93      0.0933764       0.168013        32.3534
    93         94      0.0933764       0.168013        30.7357
    94         95      0.0933764       0.168013        29.1989
*   95         96      0.0933764       0.140026             95
    96         97      0.0933764        0.20664          90.25
    97         98      0.0933764        0.20664        85.7375
    98         99      0.0933764        0.20664        81.4506
    99        100      0.0933764        0.20664        77.3781
   100        101      0.0933764        0.20664        73.5092
   101        102      0.0933764        0.20664        69.8337
   102        103      0.0933764        0.20664         66.342
   103        104      0.0933764       0.194787        63.0249
   104        105      0.0933764       0.194787        59.8737
   105        106      0.0933764       0.194787          56.88
   106        107      0.0933764       0.194787         54.036
   107        108      0.0933764       0.194787        51.3342
   108        109      0.0933764       0.194787        48.7675
   109        110      0.0933764       0.194787        46.3291
   110        111      0.0933764       0.194787        44.0127
   111        112      0.0933764       0.194787         41.812
   112        113      0.0933764       0.194787        39.7214
   113        114      0.0933764       0.194787        37.7354
   114        115      0.0933764       0.194787        35.8486
   115        116      0.0933764       0.194787        34.0562
   116        117      0.0933764       0.194787        32.3534
   117        118      0.0933764       0.194787        30.7357
   118        119      0.0933764       0.194787        29.1989
   119        120      0.0933764       0.194787         27.739
   120        121      0.0933764       0.194787         26.352

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0933764       0.194787        25.0344
   122        123      0.0933764       0.194787        23.7827
   123        124      0.0933764       0.194787        22.5936
   124        125      0.0933764       0.250928        21.4639
