\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  0.5 180 0.05 1.18 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2            Inf            Inf             50
     2          3            Inf            Inf        33.3333
     3          4       0.239382       0.239382             25
     4          5       0.159635       0.159635             20
     5          6       0.159635       0.159635        16.6667
     6          7       0.159635       0.159635        14.2857
     7          8      0.0860458      0.0860458           12.5
     8          9      0.0860458       0.159988        11.1111
     9         10      0.0860458      0.0969788             10
    10         11      0.0860458      0.0969788        9.09091
    11         12      0.0860458      0.0969788        8.33333
    12         13      0.0860458      0.0969788        7.69231
    13         14      0.0860458      0.0955123        7.14286
    14         15      0.0860458      0.0941854        6.66667
    15         16      0.0860458      0.0885364           6.25
    16         17      0.0860458      0.0885364        5.88235
    17         18      0.0860458      0.0885364        5.55556
    18         19      0.0860458      0.0885364        5.26316
    19         20      0.0860458      0.0885364              5
    20         21      0.0860458      0.0885364         4.7619
*   21         22      0.0860458       0.158215            100
    22         23      0.0860458       0.158215             50
    23         24      0.0860458       0.158215        33.3333
    24         25      0.0860458       0.158215             25
    25         26      0.0860458       0.158215             20
    26         27      0.0860458       0.158215        16.6667
    27         28      0.0860458       0.158215        14.2857
    28         29      0.0860458       0.158215           12.5
    29         30      0.0860458       0.158215        11.1111
    30         31      0.0860458       0.158215             10

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0860458       0.158215        9.09091
    32         33      0.0860458       0.158215        8.33333
    33         34      0.0860458       0.293923        7.69231
    34         35      0.0851057      0.0851057        7.14286
    35         36      0.0851057      0.0851057        6.66667
    36         37      0.0851057      0.0915249           6.25
    37         38      0.0851057      0.0854077        5.88235
    38         39      0.0851057      0.0854077        5.55556
    39         40      0.0851057      0.0854077        5.26316
    40         41      0.0851057      0.0915249              5
    41         42      0.0851057      0.0915249         4.7619
    42         43      0.0851057      0.0915249        4.54545
    43         44      0.0851057      0.0915249        4.34783
    44         45      0.0851057      0.0915249        4.16667
    45         46      0.0851057      0.0915249              4
    46         47      0.0851057      0.0915249        3.84615
    47         48      0.0851057      0.0915249         3.7037
    48         49      0.0851057       0.155204        3.57143
    49         50      0.0851057       0.155204        3.44828
    50         51      0.0851057         0.1999        3.33333
    51         52      0.0851057       0.339722        3.22581
    52         53      0.0851057       0.339722          3.125
    53         54      0.0851057       0.529873         3.0303
*   54         55      0.0851057       0.340486            100
    55         56      0.0851057       0.340486             50
    56         57      0.0851057       0.340486        33.3333
    57         58      0.0851057       0.340486             25
    58         59      0.0851057       0.340486             20
    59         60      0.0851057       0.370957        16.6667
    60         61      0.0851057       0.370957        14.2857

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0851057       0.370957           12.5
    62         63      0.0851057       0.370957        11.1111
    63         64      0.0851057       0.370957             10
    64         65      0.0851057       0.370957        9.09091
    65         66      0.0851057       0.370957        8.33333
    66         67      0.0851057       0.130975        7.69231
    67         68      0.0851057       0.130975        7.14286
    68         69      0.0851057       0.125472        6.66667
    69         70      0.0851057       0.125472           6.25
    70         71      0.0851057       0.124548        5.88235
    71         72      0.0851057       0.124548        5.55556
    72         73      0.0851057       0.105339        5.26316
    73         74      0.0851057       0.105339              5
    74         75      0.0851057       0.105339         4.7619
    75         76      0.0851057       0.105339        4.54545
    76         77      0.0851057       0.105339        4.34783
    77         78      0.0851057       0.105339        4.16667
    78         79      0.0851057       0.105339              4
    79         80      0.0851057       0.105339        3.84615
    80         81      0.0851057       0.124213         3.7037
    81         82      0.0851057       0.125386        3.57143
    82         83      0.0851057       0.125386        3.44828
    83         84      0.0851057       0.158065        3.33333
    84         85      0.0851057        0.28037        3.22581
*   85         86      0.0851057       0.456586            100
    86         87      0.0851057       0.456586             50
    87         88      0.0851057       0.456586        33.3333
    88         89      0.0851057        2.30548             25
    89         90      0.0851057       0.366582             20
    90         91      0.0851057       0.366582        16.6667

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0851057       0.366582        14.2857
    92         93      0.0851057       0.318937           12.5
    93         94      0.0851057       0.126139        11.1111
    94         95      0.0851057       0.126139             10
    95         96      0.0851057      0.0881632        9.09091
    96         97      0.0851057      0.0881632        8.33333
    97         98      0.0851057      0.0878211        7.69231
    98         99      0.0851057      0.0878211        7.14286
    99        100      0.0851057       0.104326        6.66667
   100        101      0.0851057       0.104326           6.25
   101        102      0.0851057      0.0885851        5.88235
   102        103      0.0851057      0.0894842        5.55556
*  103        104      0.0851057       0.202083            100
   104        105      0.0851057       0.202083             50
   105        106      0.0851057       0.202083        33.3333
   106        107      0.0851057       0.136988             25
   107        108      0.0851057       0.110794             20
   108        109      0.0851057       0.110794        16.6667
   109        110      0.0851057       0.215589        14.2857
   110        111      0.0851057       0.215589           12.5
   111        112      0.0851057         0.6766        11.1111
[Warning: Unable to complete the meshing step. Please try the alternate mesher version that can be selected in pdetool using the Mesh Parameters dialog or in the initmesh function using the
'MesherVersion', 'R2013a' option.] 
   112        113      0.0851057         0.6766             10
   113        114      0.0851057        1.27289        9.09091
   114        115      0.0851057        1.34315        8.33333
   115        116      0.0851057        1.34315        7.69231
   116        117      0.0851057        1.34315        7.14286
   117        118      0.0851057       0.809442        6.66667
   118        119      0.0851057      0.0913375           6.25
   119        120      0.0851057       0.753489        5.88235
*  120        121      0.0851057       0.151143            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0851057       0.151143             50
   122        123      0.0846481      0.0846481        33.3333
   123        124      0.0846481      0.0846481             25
   124        125      0.0846481      0.0846481             20
   125        126      0.0846481      0.0846481        16.6667
   126        127      0.0846481      0.0846481        14.2857
   127        128      0.0846481      0.0846481           12.5
   128        129      0.0846481       0.194723        11.1111
   129        130      0.0846481       0.194723             10
   130        131      0.0846481       0.237188        9.09091
   131        132      0.0846481       0.116202        8.33333
   132        133      0.0846481       0.116202        7.69231
   133        134      0.0846481      0.0860263        7.14286
   134        135      0.0846481      0.0860263        6.66667
   135        136      0.0846481      0.0860263           6.25
   136        137      0.0846481      0.0860263        5.88235
   137        138      0.0846481      0.0861336        5.55556
   138        139      0.0846481      0.0861336        5.26316
