\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  10 40 0.003 1.1 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureboltz
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.200134       0.200134         144.27
     2          3       0.200134       0.200134        91.0239
     3          4       0.184819       0.184819        72.1348
     4          5       0.184819       0.184819        62.1335
     5          6       0.184819       0.184819        55.8111
     6          7       0.164577       0.164577        51.3898
     7          8       0.164577       0.164577        48.0898
     8          9       0.164577       0.164577         45.512
     9         10       0.164577       0.164577        43.4294
    10         11       0.164577       0.164577        41.7032
    11         12       0.164577       0.164577         40.243
    12         13       0.164577       0.164577        38.9871
    13         14       0.164577        1.20693        37.8923
    14         15       0.164577        1.20693        36.9269
    15         16       0.164577        1.20693        36.0674
    16         17       0.164577        1.20693        35.2956
    17         18       0.164577        1.20693        34.5976
    18         19       0.164577        0.18258        33.9623
    19         20       0.164577        0.18258        33.3808
    20         21       0.164577        0.18258        32.8459
    21         22       0.135788       0.135788        32.3515
    22         23       0.135788       0.135788        31.8929
    23         24      0.0892546      0.0892546        31.4658
    24         25      0.0892546      0.0892546        31.0667
    25         26      0.0892546       0.405201        30.6928
    26         27      0.0892546       0.405201        30.3413
    27         28      0.0892546       0.405201        30.0102
    28         29      0.0892546       0.405201        29.6974
*   29         30      0.0892546       0.180303            Inf
    30         31      0.0892546       0.180303         144.27

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0892546       0.180303        91.0239
    32         33      0.0892546       0.180303        72.1348
    33         34      0.0892546       0.180303        62.1335
    34         35      0.0892546       0.180303        55.8111
    35         36      0.0892546       0.180303        51.3898
    36         37      0.0892546       0.180303        48.0898
    37         38      0.0892546       0.180303         45.512
    38         39      0.0892546       0.180303        43.4294
    39         40      0.0892546       0.180303        41.7032
    40         41      0.0892546       0.180303         40.243
    41         42      0.0892546       0.128173        38.9871
    42         43      0.0892546       0.128173        37.8923
    43         44      0.0892546       0.128173        36.9269
    44         45      0.0892546       0.128173        36.0674
    45         46      0.0892546       0.128173        35.2956
    46         47      0.0892546       0.128173        34.5976
    47         48      0.0892546       0.128173        33.9623
    48         49      0.0892546       0.128173        33.3808
    49         50      0.0892546       0.128173        32.8459
    50         51      0.0892546       0.128173        32.3515
    51         52      0.0892546       0.128173        31.8929
    52         53      0.0892546       0.128173        31.4658
    53         54      0.0892546       0.128173        31.0667
    54         55      0.0892546       0.128173        30.6928
    55         56      0.0892546       0.128173        30.3413
    56         57      0.0892546       0.128173        30.0102
    57         58      0.0892546       0.128173        29.6974
    58         59      0.0892546       0.128173        29.4014
    59         60      0.0892546       0.281309        29.1207
    60         61      0.0892546       0.281309        28.8539

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0892546       0.281309           28.6
    62         63      0.0892546      0.0963337        28.3578
