\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 200 0.01 1.5 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temphsa
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.431238       0.431238            100
     2          3       0.431238       0.431238            100
     3          4       0.431238       0.431238            100
     4          5       0.431238       0.431238            100
     5          6       0.431238       0.431238            100
     6          7       0.431238       0.431238            100
     7          8       0.431238       0.431238            100
     8          9       0.431238       0.431238            100
     9         10       0.431238       0.431238            100
    10         11       0.431238       0.431238            100
    11         12       0.431238       0.431238            100
    12         13       0.431238       0.431238            100
    13         14       0.309583       0.309583            100
    14         15       0.309583       0.309583            100
    15         16       0.309583       0.309583            100
    16         17      0.0946739      0.0946739            100
    17         18      0.0946739      0.0946739            100
    18         19      0.0946739      0.0946739            100
    19         20      0.0946739      0.0946739            100
    20         21      0.0946739      0.0946739            100
    21         22      0.0946739      0.0946739            100
    22         23      0.0946739      0.0946739            100
    23         24      0.0946739      0.0946739            100
    24         25      0.0946739      0.0946739            100
    25         26      0.0946739      0.0946739            100
    26         27      0.0946739      0.0946739            100
    27         28      0.0946739      0.0946739            100
    28         29      0.0946739      0.0946739            100
    29         30      0.0946739       0.213575            100
    30         31      0.0946739       0.213575            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0946739       0.213575            100
    32         33      0.0946739       0.213575            100
    33         34      0.0946739       0.213575            100
    34         35      0.0946739       0.213575            100
    35         36      0.0946739       0.213575            100
    36         37      0.0946739       0.213575            100
    37         38      0.0946739       0.213575            100
    38         39      0.0946739       0.213575            100
    39         40      0.0946739       0.213575            100
    40         41      0.0946739       0.213575            100
    41         42      0.0946739       0.213575            100
    42         43      0.0946739       0.213575            100
    43         44      0.0946739       0.213575            100
    44         45      0.0946739       0.213575            100
    45         46      0.0946739       0.213575            100
    46         47      0.0946739       0.213575            100
    47         48      0.0946739       0.213575            100
    48         49      0.0946739       0.213575            100
    49         50      0.0946739       0.213575            100
    50         51      0.0946739       0.213575            100
    51         52      0.0946739       0.213575            100
    52         53      0.0825713      0.0825713            100
    53         54      0.0825713      0.0825713            100
    54         55      0.0825713      0.0825713            100
    55         56      0.0825713      0.0825713            100
    56         57      0.0825713      0.0825713            100
    57         58      0.0825713      0.0825713            100
    58         59      0.0825713      0.0825713            100
    59         60      0.0825713        3.42149            100
    60         61      0.0825713        3.42149            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
