\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  20 150 0.07 1.42 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempksa
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2        2.31793        2.31793            100
     2          3       0.301335       0.301335            100
     3          4       0.301335       0.301335            100
     4          5       0.192855       0.192855            100
     5          6       0.192855       0.192855            100
     6          7      0.0881849      0.0881849            100
     7          8      0.0881849      0.0881849            100
     8          9      0.0881849      0.0881849            100
     9         10      0.0881849      0.0881849            100
    10         11      0.0881849       0.293896            100
    11         12      0.0881849       0.157361            100
    12         13      0.0881849        0.13481            100
    13         14      0.0881849        0.13481            100
    14         15      0.0881849        0.13481            100
    15         16      0.0881849       0.126847            100
    16         17      0.0881849       0.191518            100
    17         18      0.0881849       0.191518            100
    18         19      0.0881849       0.191518            100
    19         20      0.0881849       0.130691            100
    20         21      0.0881849       0.142609            100
    21         22      0.0881849        0.38487            100
    22         23      0.0881849        0.25274            100
    23         24      0.0881849      0.0901195            100
    24         25      0.0881849       0.200205            100
    25         26      0.0881849        0.13099            100
    26         27      0.0881849        0.13099            100
    27         28      0.0881849        0.13099            100
    28         29      0.0881849        0.13099            100
    29         30      0.0881849         1.1562            100
    30         31      0.0881849       0.281271            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0881849       0.272329            100
    32         33      0.0881849        2.47196            100
    33         34      0.0881849         2.1556            100
    34         35      0.0881849       0.245984            100
    35         36      0.0881849       0.273845            100
    36         37      0.0881849        0.35555            100
    37         38      0.0881849       0.333547            100
    38         39      0.0881849       0.171908            100
    39         40      0.0881849       0.171908            100
    40         41      0.0881849        0.13127            100
    41         42      0.0881849       0.175692            100
    42         43      0.0881849       0.175692            100
    43         44      0.0881849       0.270213            100
    44         45      0.0881849        1.03481            100
    45         46      0.0881849       0.274914            100
    46         47      0.0881849      0.0896614            100
    47         48      0.0881849      0.0896614            100
    48         49      0.0881849      0.0896614            100
    49         50      0.0881849      0.0896614            100
    50         51      0.0881849        0.15389            100
    51         52      0.0881849       0.138948            100
    52         53       0.059806       0.059806            100
    53         54       0.059806       0.089153            100
    54         55       0.059806       0.127804            100
    55         56       0.059806       0.127804            100
    56         57       0.059806       0.127804            100
    57         58       0.059806       0.262229            100
    58         59       0.059806       0.116774            100
    59         60       0.059806       0.406679            100
    60         61       0.059806       0.371968            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62       0.059806       0.371968            100
    62         63       0.059806       0.294615            100
    63         64       0.059806       0.294615            100
    64         65       0.059806        1.22285            100
    65         66       0.059806       0.316106            100
    66         67       0.059806      0.0976409            100
    67         68       0.059806      0.0976409            100
    68         69       0.059806       0.482443            100
    69         70       0.059806       0.354689            100
    70         71       0.059806       0.355539            100
*   71         72       0.059806        3.04278            100
    72         73       0.059806        1.35607            100
    73         74       0.059806       0.338315            100
    74         75       0.059806        4.54338            100
    75         76       0.059806      0.0932109            100
    76         77       0.059806        4.44496            100
    77         78       0.059806        0.29602            100
    78         79       0.059806      0.0902215            100
    79         80       0.059806      0.0840436            100
    80         81       0.059806       0.232924            100
[Warning: Unable to complete the meshing step. Please try the alternate mesher version that can be selected in pdetool using the Mesh Parameters dialog or in the initmesh function using the
'MesherVersion', 'R2013a' option.] 
    81         82       0.059806       0.232924            100
    82         83      0.0491269      0.0491269            100
    83         84      0.0491269      0.0491269            100
    84         85      0.0491269       0.187776            100
    85         86      0.0491269       0.597452            100
    86         87      0.0491269       0.280748            100
    87         88      0.0491269       0.280748            100
    88         89      0.0491269       0.121484            100
    89         90      0.0491269       0.163587            100
    90         91      0.0491269       0.163587            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0491269       0.163587            100
    92         93      0.0491269      0.0885713            100
    93         94      0.0491269       0.175239            100
    94         95      0.0491269       0.422158            100
    95         96      0.0491269       0.237603            100
    96         97      0.0491269        3.44012            100
    97         98      0.0491269       0.182991            100
    98         99      0.0491269       0.137947            100
    99        100      0.0491269       0.164267            100
   100        101      0.0491269      0.0933256            100
   101        102      0.0491269      0.0933256            100
   102        103      0.0491269       0.161483            100
   103        104      0.0491269       0.506049            100
   104        105      0.0491269       0.314345            100
   105        106      0.0491269       0.139751            100
