\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  5 120 0.05 1.01 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.201191       0.201191          90.25
     2          3       0.140037       0.140037        85.7375
     3          4       0.137447       0.137447        81.4506
     4          5       0.137447        2.37665        77.3781
     5          6       0.137447       0.279768        73.5092
     6          7        0.11828        0.11828        69.8337
     7          8        0.11828       0.561919         66.342
     8          9        0.11828       0.120606        63.0249
     9         10        0.11828       0.120606        59.8737
    10         11      0.0920531      0.0920531          56.88
    11         12      0.0920531       0.378233         54.036
    12         13      0.0920531        0.24473        51.3342
    13         14      0.0920531        0.24473        48.7675
    14         15      0.0849545      0.0849545        46.3291
    15         16      0.0849545      0.0870984        44.0127
    16         17      0.0849545        1.22065         41.812
    17         18      0.0849545       0.129658        39.7214
    18         19      0.0849545        0.89057        37.7354
    19         20      0.0849545       0.239189        35.8486
    20         21      0.0849545       0.161538        34.0562
    21         22      0.0849545       0.161538        32.3534
    22         23      0.0849545       0.191839        30.7357
    23         24      0.0849545       0.090029        29.1989
    24         25      0.0849545       0.090029         27.739
    25         26      0.0849545       0.090029         26.352
    26         27      0.0849545       0.453466        25.0344
    27         28      0.0849545        1.57524        23.7827
    28         29      0.0849545       0.123776        22.5936
    29         30      0.0506049      0.0506049        21.4639
    30         31      0.0506049      0.0506049        20.3907

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0506049      0.0986358        19.3711
    32         33      0.0506049      0.0986358        18.4026
    33         34      0.0506049      0.0986358        17.4825
    34         35      0.0506049       0.085913        16.6083
    35         36      0.0506049       0.085913        15.7779
    36         37      0.0506049       0.155834         14.989
    37         38      0.0506049       0.155834        14.2396
    38         39      0.0506049       0.155399        13.5276
    39         40      0.0506049       0.582324        12.8512
    40         41      0.0506049      0.0905056        12.2087
    41         42      0.0506049        1.03951        11.5982
    42         43      0.0506049        1.75183        11.0183
    43         44      0.0506049      0.0977353        10.4674
    44         45      0.0506049        1.18118        9.94403
    45         46      0.0506049        1.18118        9.44682
    46         47      0.0506049       0.226677        8.97448
    47         48      0.0506049       0.109258        8.52576
    48         49      0.0506049       0.109258        8.09947
    49         50      0.0506049      0.0839966         7.6945
    50         51      0.0506049      0.0839966        7.30977
    51         52      0.0506049      0.0839966        6.94428
    52         53      0.0506049      0.0839966        6.59707
    53         54      0.0506049       0.145558        6.26722
    54         55      0.0506049      0.0729098        5.95386
    55         56      0.0506049      0.0721688        5.65616
    56         57      0.0486069      0.0486069        5.37335
    57         58      0.0486069      0.0486069        5.10469
    58         59      0.0486069       0.051501        4.84945
    59         60      0.0486069       0.290528        4.60698
    60         61      0.0486069       0.340946        4.37663

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0486069      0.0893883         4.1578
    62         63      0.0486069      0.0508244        3.94991
    63         64      0.0486069      0.0508244        3.75241
    64         65      0.0486069      0.0492614        3.56479
    65         66      0.0486069      0.0488954        3.38655
*   66         67      0.0486069      0.0505321             95
    67         68      0.0486069      0.0505321          90.25
