HL = 5.000 | t1//t0 = 120.000 | l1//l0 = 0.050 | alpha = 1.01 | Tmax = Inf
 HL = 2.000 | t1//t0 = 200.000 | l1//l0 = 1.000 | alpha = 1.30 | Tmax = 0.201191
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.07 | Tmax = 0.140037
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.30 | Tmax = 0.137447
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.45 | Tmax = 2.376652
 HL = 1.000 | t1//t0 = 140.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.279768
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.020 | alpha = 1.34 | Tmax = 0.118280
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.08 | Tmax = 0.561919
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.030 | alpha = 1.29 | Tmax = 0.120606
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.183794
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.002 | alpha = 1.40 | Tmax = 0.092053
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.378233
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.010 | alpha = 1.20 | Tmax = 0.244730
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.030 | alpha = 1.27 | Tmax = 0.310092
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.084954
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.700 | alpha = 1.44 | Tmax = 0.087098
 HL = 5.000 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.29 | Tmax = 1.220646
 HL = 0.500 | t1//t0 = 30.000 | l1//l0 = 0.300 | alpha = 1.28 | Tmax = 0.129658
 HL = 7.000 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.46 | Tmax = 0.890570
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.070 | alpha = 1.25 | Tmax = 0.239189
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.500 | alpha = 1.22 | Tmax = 0.161538
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.49 | Tmax = 0.206434
