\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1      0.0932996      0.0932996            100
     1          2      0.0932996      0.0932996             50
     2          3      0.0932996       0.122195        33.3333
     3          4      0.0932996       0.209737             25
     4          5      0.0899382      0.0899382             20
     5          6      0.0899382       0.120571        16.6667
     6          7      0.0899382        0.16117        14.2857
     7          8      0.0899382       0.092036           12.5
     8          9      0.0899382        0.13463        11.1111
     9         10      0.0899382      0.0912975             10
    10         11      0.0899382      0.0912975        9.09091
    11         12      0.0858519      0.0858519        8.33333
    12         13      0.0858519      0.0858519        7.69231
    13         14      0.0858519       0.307404        7.14286
    14         15      0.0858519       0.160393        6.66667
    15         16      0.0858519        0.15439           6.25
    16         17      0.0858519        0.15439        5.88235
    17         18      0.0858519       0.242876        5.55556
    18         19      0.0858519        0.11835        5.26316
    19         20      0.0858519       0.241273              5
    20         21      0.0858519       0.241273         4.7619
    21         22      0.0858519       0.184798        4.54545
    22         23      0.0858519       0.184798        4.34783
    23         24      0.0858519      0.0907606        4.16667
    24         25      0.0858519       0.263591              4
    25         26      0.0858519       0.207036        3.84615
    26         27      0.0858519      0.0988646         3.7037
    27         28      0.0858519      0.0988646        3.57143
    28         29      0.0858519      0.0969122        3.44828
    29         30      0.0858519      0.0865854        3.33333
    30         31      0.0858519      0.0865854        3.22581

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0858519      0.0865854          3.125
    32         33      0.0858519      0.0865854         3.0303
    33         34      0.0858519      0.0865854        2.94118
    34         35      0.0858519      0.0865854        2.85714
    35         36      0.0858519      0.0865854        2.77778
    36         37      0.0858519      0.0958768         2.7027
    37         38      0.0858519       0.241586        2.63158
    38         39      0.0858519       0.241586         2.5641
    39         40      0.0858519      0.0926191            2.5
    40         41      0.0858519      0.0926191        2.43902
    41         42      0.0858519      0.0920115        2.38095
    42         43      0.0858519      0.0920115        2.32558
    43         44      0.0858519       0.159441        2.27273
    44         45      0.0858519       0.248019        2.22222
    45         46      0.0858519      0.0972071        2.17391
    46         47      0.0858519      0.0972071        2.12766
    47         48      0.0858519      0.0972071        2.08333
    48         49      0.0858519      0.0907437        2.04082
    49         50      0.0858519       0.209529              2
