\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureboltz
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1      0.0932996      0.0932996            100
     1          2      0.0932996      0.0932996         144.27
     2          3      0.0932996       0.144107        91.0239
     3          4      0.0932996       0.262043        72.1348
     4          5      0.0932996       0.292673        62.1335
     5          6      0.0932996       0.212842        55.8111
     6          7      0.0932996       0.212842        51.3898
     7          8      0.0932996       0.162173        48.0898
     8          9      0.0932996        3.21085         45.512
     9         10      0.0932996        1.28367        43.4294
    10         11      0.0932996       0.409378        41.7032
    11         12      0.0932996        1.08737         40.243
    12         13      0.0932996       0.126665        38.9871
    13         14      0.0932996        1.84314        37.8923
    14         15      0.0932996       0.101891        36.9269
    15         16      0.0932996       0.101891        36.0674
    16         17      0.0932996       0.101891        35.2956
    17         18      0.0932996       0.101891        34.5976
    18         19      0.0932996       0.101891        33.9623
    19         20      0.0932996       0.101891        33.3808
    20         21      0.0932996        1.34828        32.8459
    21         22      0.0932996       0.758601        32.3515
    22         23      0.0932996        2.44528        31.8929
    23         24      0.0932996       0.357359        31.4658
    24         25      0.0932996       0.357359        31.0667
    25         26      0.0932996       0.121252        30.6928
    26         27      0.0932996        0.43166        30.3413
    27         28      0.0932996        0.43166        30.0102
    28         29      0.0932996       0.136153        29.6974
    29         30      0.0932996       0.136153        29.4014
    30         31      0.0932996        0.23842        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0932996        0.23842        28.8539
    32         33      0.0641643      0.0641643           28.6
    33         34      0.0641643      0.0641643        28.3578
