HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.093300
 HL = 18.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 3.125620
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.144107
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.262043
 HL = 2.000 | t1//t0 = 150.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.292673
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.007 | alpha = 1.09 | Tmax = 0.212842
 HL = 10.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 1.083045
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.500 | alpha = 1.08 | Tmax = 0.162173
 HL = 15.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 3.210852
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.47 | Tmax = 1.283673
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.25 | Tmax = 0.409378
 HL = 5.000 | t1//t0 = 17.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 1.087373
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.29 | Tmax = 0.126665
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 1.843138
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.500 | alpha = 1.29 | Tmax = 0.101891
 HL = 5.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.987529
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.49 | Tmax = 2.014232
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.459555
 HL = 10.000 | t1//t0 = 10.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 0.841532
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.29 | Tmax = 0.195995
 HL = 7.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.52 | Tmax = 1.348281
 HL = 5.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.41 | Tmax = 0.758601
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 2.445276
 HL = 2.000 | t1//t0 = 50.000 | l1//l0 = 0.500 | alpha = 1.28 | Tmax = 0.357359
 HL = 10.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.49 | Tmax = 1.517262
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.28 | Tmax = 0.121252
 HL = 7.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.50 | Tmax = 0.431660
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 1.237389
 HL = 1.000 | t1//t0 = 20.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.136153
 HL = 2.000 | t1//t0 = 13.000 | l1//l0 = 0.050 | alpha = 1.47 | Tmax = 0.478378
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = 0.238420
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.26 | Tmax = 1.090274
 HL = 2.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.45 | Tmax = 0.064164
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.100 | alpha = 1.41 | Tmax = 0.116726
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.28 | Tmax = 0.532143
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.33 | Tmax = Inf
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.180828
 HL = 1.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.084648
 HL = 7.000 | t1//t0 = 18.000 | l1//l0 = 1.000 | alpha = 1.45 | Tmax = 0.933172
 HL = 5.000 | t1//t0 = 15.000 | l1//l0 = 0.070 | alpha = 1.55 | Tmax = 0.839817
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = 0.271075
 HL = 15.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.49 | Tmax = 2.578856
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.070 | alpha = 1.33 | Tmax = 0.246578
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.700 | alpha = 1.42 | Tmax = 0.802106
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.133498
 HL = 1.000 | t1//t0 = 100.000 | l1//l0 = 0.300 | alpha = 1.31 | Tmax = 0.189837
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.095454
 HL = 10.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.619341
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.070 | alpha = 1.36 | Tmax = 0.131954
 HL = 1.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.098288
 HL = 2.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.33 | Tmax = 0.164939
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.192693
 HL = 10.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.332809
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.30 | Tmax = 0.191907
 HL = 5.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.984113
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.32 | Tmax = 0.086912
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.33 | Tmax = 0.219277
 HL = 2.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 0.045146
 HL = 0.500 | t1//t0 = 40.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = 0.142686
 HL = 2.000 | t1//t0 = 110.000 | l1//l0 = 0.500 | alpha = 1.47 | Tmax = 0.094376
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 0.040521
 HL = 15.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 3.371796
 HL = 10.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 2.543296
 HL = 15.000 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.49 | Tmax = 3.683715
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.880085
 HL = 10.000 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.43 | Tmax = 2.339413
 HL = 10.000 | t1//t0 = 100.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 2.245184
 HL = 15.000 | t1//t0 = 40.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 2.271800
 HL = 15.000 | t1//t0 = 110.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 3.379495
 HL = 7.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.51 | Tmax = 0.938888
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 0.611025
 HL = 18.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.47 | Tmax = 4.061494
 HL = 5.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.43 | Tmax = 0.914946
 HL = 10.000 | t1//t0 = 50.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 0.706937
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.094894
 HL = 7.000 | t1//t0 = 60.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = 1.103185
 HL = 10.000 | t1//t0 = 20.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.174774
 HL = 15.000 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 1.311913
 HL = 7.000 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.41 | Tmax = 1.772162
 HL = 7.000 | t1//t0 = 90.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 1.656469
 HL = 10.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 2.151651
 HL = 2.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.150828
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = 0.280587
 HL = 2.000 | t1//t0 = 180.000 | l1//l0 = 0.500 | alpha = 1.03 | Tmax = 0.541100
 HL = 7.000 | t1//t0 = 170.000 | l1//l0 = 0.500 | alpha = 1.48 | Tmax = 1.216139
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.31 | Tmax = 0.273529
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.25 | Tmax = 1.222851
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 0.205465
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.38 | Tmax = 0.166867
 HL = 0.500 | t1//t0 = 80.000 | l1//l0 = 0.500 | alpha = 1.31 | Tmax = 0.159841
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.200399
 HL = 18.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.48 | Tmax = 3.546544
 HL = 20.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 3.275846
 HL = 10.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 2.461531
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = 0.128998
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.100 | alpha = 1.35 | Tmax = 0.120145
 HL = 1.000 | t1//t0 = 120.000 | l1//l0 = 0.300 | alpha = 1.36 | Tmax = 0.163587
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 0.302797
 HL = 1.000 | t1//t0 = 150.000 | l1//l0 = 0.300 | alpha = 1.47 | Tmax = 0.081242
 HL = 0.500 | t1//t0 = 17.000 | l1//l0 = 0.100 | alpha = 1.46 | Tmax = 0.114220
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 0.300 | alpha = 1.38 | Tmax = 0.417576
 HL = 5.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.46 | Tmax = 0.855816
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.100 | alpha = 1.34 | Tmax = 0.106249
