HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.109676
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.44 | Tmax = 0.135468
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.171148
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.31 | Tmax = 0.118262
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.33 | Tmax = 0.119993
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.34 | Tmax = 0.085428
 HL = 1.000 | t1//t0 = 13.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.120201
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.300 | alpha = 1.27 | Tmax = 0.293688
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.110177
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.126587
 HL = 5.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 1.272506
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.38 | Tmax = 0.944531
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.33 | Tmax = 1.008662
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.091966
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.085862
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.234979
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.224925
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.320869
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.080113
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.32 | Tmax = 0.142840
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.176579
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.320249
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.233163
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.077335
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.307855
 HL = 1.000 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.096779
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.164296
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.199788
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.188400
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.077478
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.309055
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.199788
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.100770
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.201695
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.104786
 HL = 2.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.294803
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.147473
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.39 | Tmax = 0.078353
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.103665
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.38 | Tmax = 0.077384
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.095311
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.152488
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.317827
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.226258
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.330199
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.098738
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.108551
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.090545
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.296726
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.38 | Tmax = 0.091658
 HL = 0.500 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.150184
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.226794
 HL = 1.000 | t1//t0 = 11.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.079799
 HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.096220
 HL = 1.000 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.078604
