\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        0.25363        0.25363            100
     1          2       0.119188       0.119188             50
     2          3       0.119188       0.292175        33.3333
     3          4       0.119188       0.207073             25
     4          5       0.119188        0.12024             20
     5          6       0.119188       0.128463        16.6667
     6          7       0.119188       0.280842        14.2857
     7          8       0.119188       0.248575           12.5
     8          9       0.119188       0.248575        11.1111
     9         10       0.119188       0.273233             10
    10         11       0.119188       0.195176        9.09091
    11         12       0.119188       0.159031        8.33333
    12         13       0.119188       0.142124        7.69231
    13         14       0.119188       0.139586        7.14286
    14         15       0.119188       0.139586        6.66667
    15         16       0.118951       0.118951           6.25
    16         17       0.118951       0.118951        5.88235
    17         18        0.11444        0.11444        5.55556
    18         19        0.10581        0.10581        5.26316
    19         20      0.0704855      0.0704855              5
    20         21      0.0704855      0.0704855         4.7619
    21         22      0.0704855       0.170946        4.54545
    22         23      0.0704855       0.129588        4.34783
    23         24      0.0704855        0.30247        4.16667
    24         25      0.0704855       0.194132              4
    25         26      0.0704855       0.141432        3.84615
    26         27      0.0704855      0.0718391         3.7037
    27         28      0.0704855       0.128513        3.57143
    28         29      0.0704855       0.117575        3.44828
    29         30      0.0704855       0.167637        3.33333
    30         31      0.0704855       0.114623        3.22581

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0704855       0.141665          3.125
    32         33      0.0704855       0.252592         3.0303
    33         34      0.0704855       0.127206        2.94118
    34         35      0.0704855       0.229625        2.85714
    35         36      0.0704855       0.113575        2.77778
    36         37      0.0704855       0.113575         2.7027
    37         38      0.0704855       0.112623        2.63158
    38         39      0.0704855      0.0789579         2.5641
    39         40      0.0704855      0.0789579            2.5
    40         41      0.0704855        0.28873        2.43902
    41         42      0.0704855      0.0715763        2.38095
    42         43      0.0704855       0.116748        2.32558
    43         44      0.0704855       0.099152        2.27273
    44         45      0.0704855      0.0740913        2.22222
    45         46      0.0704855       0.111677        2.17391
    46         47      0.0704855       0.115733        2.12766
    47         48      0.0704855       0.115733        2.08333
    48         49      0.0704855       0.115733        2.04082
    49         50      0.0704855       0.226846              2
    50         51      0.0704855       0.226846        1.96078
    51         52      0.0704855      0.0729266        1.92308
    52         53      0.0704855      0.0729266        1.88679
    53         54      0.0704855      0.0729266        1.85185
    54         55      0.0704855      0.0845033        1.81818
    55         56      0.0704855       0.265808        1.78571
    56         57      0.0704855        0.11071        1.75439
    57         58      0.0704855      0.0921239        1.72414
    58         59      0.0704855       0.127206        1.69492
    59         60      0.0704855       0.260467        1.66667
*   60         61      0.0704855       0.226846            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0704855       0.151464             50
    62         63      0.0704855       0.122398        33.3333
    63         64      0.0704855       0.122398             25
    64         65      0.0704855       0.122398             20
    65         66      0.0704855      0.0781988        16.6667
    66         67      0.0704855      0.0986014        14.2857
    67         68      0.0704855       0.159138           12.5
    68         69      0.0704855       0.112156        11.1111
    69         70      0.0704855       0.112156             10
    70         71      0.0704855        0.13339        9.09091
    71         72      0.0704855       0.142022        8.33333
    72         73      0.0704855       0.149567        7.69231
    73         74      0.0704855       0.159295        7.14286
    74         75      0.0704855       0.121313        6.66667
    75         76      0.0704855       0.106498           6.25
    76         77      0.0704855       0.074769        5.88235
    77         78      0.0704855       0.272237        5.55556
    78         79      0.0704855       0.111174        5.26316
    79         80      0.0704855       0.280229              5
    80         81      0.0704855        0.13622         4.7619
    81         82      0.0704855      0.0732383        4.54545
    82         83      0.0704855      0.0732383        4.34783
    83         84      0.0704855      0.0732383        4.16667
    84         85      0.0704855      0.0708989              4
    85         86      0.0704855       0.141852        3.84615
    86         87      0.0704855       0.109489         3.7037
    87         88      0.0704855       0.122245        3.57143
    88         89      0.0704855       0.122245        3.44828
    89         90      0.0704855      0.0757775        3.33333
    90         91      0.0704855      0.0737841        3.22581

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0704855       0.146903          3.125
    92         93      0.0704855       0.146903         3.0303
    93         94      0.0704855       0.146903        2.94118
    94         95      0.0704855       0.146903        2.85714
    95         96      0.0704855       0.125573        2.77778
    96         97      0.0704855        0.11071         2.7027
    97         98      0.0704855      0.0845033        2.63158
    98         99      0.0704855      0.0845033         2.5641
    99        100      0.0704855      0.0845033            2.5
   100        101      0.0704855      0.0845033        2.43902
   101        102      0.0704855      0.0845033        2.38095
   102        103      0.0704855      0.0740913        2.32558
   103        104      0.0704855      0.0740913        2.27273
   104        105      0.0704855      0.0740913        2.22222
   105        106      0.0704855      0.0740913        2.17391
   106        107      0.0704855      0.0740913        2.12766
   107        108      0.0704855       0.099152        2.08333
   108        109      0.0704855      0.0789579        2.04082
   109        110      0.0704855        0.22464              2
   110        111      0.0704855      0.0704855        1.96078
   111        112      0.0704855       0.114623        1.92308
   112        113      0.0704855       0.114623        1.88679
   113        114      0.0704855       0.128513        1.85185
   114        115      0.0704855       0.252592        1.81818
   115        116      0.0704855      0.0715763        1.78571
   116        117      0.0704855       0.117575        1.75439
   117        118      0.0704855       0.117575        1.72414
   118        119      0.0704855       0.117575        1.69492
   119        120      0.0704855       0.115733        1.66667
   120        121      0.0704855       0.115733        1.63934

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0704855       0.115733         1.6129
   122        123      0.0704855      0.0704855         1.5873
   123        124      0.0704855      0.0704855         1.5625
   124        125      0.0704855      0.0704855        1.53846
   125        126      0.0704855       0.115733        1.51515
   126        127      0.0704855       0.260467        1.49254
   127        128      0.0704855      0.0921239        1.47059
   128        129      0.0704855      0.0921239        1.44928
   129        130      0.0704855      0.0729266        1.42857
   130        131      0.0704855       0.226846        1.40845
   131        132      0.0704855      0.0921239        1.38889
   132        133      0.0704855      0.0704855        1.36986
   133        134      0.0704855       0.127206        1.35135
   134        135      0.0704855       0.115733        1.33333
*  135        136      0.0704855       0.295012            100
   136        137      0.0704855       0.101189             50
   137        138      0.0704855       0.109751        33.3333
   138        139      0.0704855       0.109751             25
   139        140      0.0704855       0.109751             20
   140        141      0.0704855      0.0730288        16.6667
   141        142      0.0704855       0.337176        14.2857
   142        143      0.0704855       0.313319           12.5
   143        144      0.0704855       0.091464        11.1111
   144        145      0.0704855       0.132424             10
   145        146      0.0704855      0.0749341        9.09091
   146        147      0.0704855       0.241266        8.33333
   147        148      0.0704855       0.121658        7.69231
   148        149      0.0704855       0.121658        7.14286
   149        150      0.0704855       0.115208        6.66667
   150        151      0.0704855       0.114272           6.25

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   151        152      0.0704855       0.108957        5.88235
   152        153      0.0704855       0.108957        5.55556
   153        154      0.0704855      0.0710411        5.26316
   154        155      0.0704855      0.0749332              5
   155        156      0.0704855       0.123573         4.7619
   156        157      0.0704855       0.141928        4.54545
   157        158      0.0704855       0.141133        4.34783
   158        159      0.0704855       0.110537        4.16667
   159        160      0.0704855       0.233122              4
   160        161      0.0704855      0.0728158        3.84615
