\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        0.25363        0.25363            100
     1          2       0.119188       0.119188          90.25
     2          3       0.119188       0.292175        85.7375
     3          4      0.0717817      0.0717817        81.4506
     4          5      0.0717817       0.134895        77.3781
     5          6      0.0717817       0.134895        73.5092
     6          7      0.0717817        2.39994        69.8337
     7          8      0.0717817       0.162635         66.342
     8          9      0.0717817       0.166435        63.0249
     9         10      0.0717817       0.248279        59.8737
    10         11      0.0717817        1.25163          56.88
    11         12      0.0717817       0.168219         54.036
    12         13      0.0717817       0.145824        51.3342
    13         14      0.0717817      0.0785497        48.7675
    14         15      0.0717817      0.0785497        46.3291
    15         16      0.0717817      0.0785497        44.0127
    16         17      0.0717817       0.196747         41.812
    17         18      0.0717817       0.129828        39.7214
    18         19      0.0717817       0.129828        37.7354
    19         20      0.0717817      0.0720058        35.8486
    20         21      0.0717817      0.0720058        34.0562
    21         22      0.0717817      0.0720058        32.3534
    22         23      0.0717817       0.181975        30.7357
    23         24      0.0717817       0.152993        29.1989
    24         25      0.0717817       0.205078         27.739
    25         26      0.0717817       0.159548         26.352
    26         27      0.0717817        0.46899        25.0344
    27         28      0.0717817      0.0729994        23.7827
    28         29      0.0717817      0.0729994        22.5936
    29         30      0.0717817      0.0729994        21.4639
    30         31      0.0717817       0.192803        20.3907

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0717817       0.082239        19.3711
    32         33      0.0708222      0.0708222        18.4026
    33         34      0.0708222      0.0708222        17.4825
    34         35      0.0708222       0.123559        16.6083
    35         36      0.0708222       0.123559        15.7779
    36         37      0.0708222       0.123559         14.989
