\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureboltz
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        0.25363        0.25363            100
     1          2       0.119188       0.119188         144.27
     2          3       0.119188       0.292175        91.0239
     3          4        0.10641        0.10641        72.1348
     4          5       0.073131       0.073131        62.1335
     5          6       0.073131       0.324418        55.8111
     6          7       0.073131        2.39994        51.3898
     7          8       0.073131       0.266722        48.0898
     8          9       0.073131       0.188927         45.512
     9         10       0.073131       0.248279        43.4294
    10         11       0.073131      0.0731658        41.7032
    11         12      0.0722736      0.0722736         40.243
    12         13      0.0722736        1.25163        38.9871
    13         14      0.0722736       0.255242        37.8923
    14         15      0.0722736        0.17095        36.9269
    15         16      0.0722736        0.17095        36.0674
    16         17      0.0722736       0.226774        35.2956
    17         18      0.0722736       0.163358        34.5976
    18         19      0.0722736       0.196747        33.9623
    19         20      0.0722736       0.129828        33.3808
    20         21      0.0722736       0.129828        32.8459
    21         22      0.0720058      0.0720058        32.3515
    22         23      0.0720058       0.147741        31.8929
    23         24      0.0720058       0.307243        31.4658
    24         25      0.0720058       0.203779        31.0667
    25         26      0.0720058       0.130094        30.6928
    26         27      0.0720058        0.16894        30.3413
    27         28      0.0720058       0.123253        30.0102
    28         29      0.0720058       0.123253        29.6974
    29         30      0.0720058       0.122384        29.4014
    30         31      0.0720058       0.143997        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0720058       0.388235        28.8539
    32         33      0.0720058       0.121527           28.6
    33         34      0.0720058       0.125213        28.3578
    34         35      0.0720058       0.125213        28.1266
    35         36      0.0720058       0.113802        27.9055
    36         37      0.0720058       0.113802        27.6938
    37         38      0.0720058       0.108591        27.4908
    38         39      0.0720058      0.0786334        27.2958
    39         40      0.0720058       0.126435        27.1085
    40         41      0.0720058       0.184066        26.9283
    41         42      0.0720058       0.184066        26.7546
    42         43      0.0720058       0.120015        26.5873
    43         44      0.0720058       0.140953        26.4257
    44         45      0.0720058       0.140953        26.2697
    45         46      0.0720058       0.140953        26.1189
    46         47      0.0720058       0.140953         25.973
    47         48      0.0720058       0.140953        25.8318
    48         49      0.0720058       0.149884        25.6949
    49         50      0.0720058       0.121107        25.5622
    50         51      0.0720058       0.252294        25.4335
    51         52      0.0720058       0.252294        25.3085
    52         53      0.0720058       0.249917        25.1871
