\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempksa
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 100
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1        0.25363        0.25363            100
     1          2       0.119188       0.119188            100
     2          3       0.119188       0.292175            100
     3          4        0.10641        0.10641            100
     4          5        0.10641        0.10641            100
     5          6        0.10641        2.39994            100
     6          7        0.10641       0.166435            100
     7          8        0.10641        1.25163            100
     8          9        0.10641       0.168219            100
     9         10        0.10641       0.145824            100
    10         11      0.0698141      0.0698141            100
    11         12      0.0698141         0.2911            100
    12         13      0.0698141       0.161558            100
    13         14      0.0698141       0.161558            100
    14         15      0.0698141       0.154883            100
    15         16      0.0698141      0.0719665            100
    16         17      0.0698141       0.147853            100
    17         18      0.0698141       0.124727            100
    18         19      0.0698141       0.165992            100
    19         20      0.0698141       0.110638            100
    20         21      0.0698141       0.388235            100
    21         22      0.0698141      0.0707447            100
    22         23      0.0698141      0.0830999            100
    23         24      0.0698141      0.0830999            100
    24         25      0.0698141       0.173327            100
    25         26      0.0698141      0.0933901            100
    26         27      0.0698141      0.0933901            100
    27         28      0.0698141       0.467287            100
    28         29      0.0698141      0.0736247            100
    29         30      0.0698141      0.0736247            100
    30         31      0.0698141       0.800151            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0698141       0.252294            100
    32         33      0.0698141       0.149331            100
    33         34      0.0698141      0.0710455            100
    34         35      0.0698141        0.15617            100
    35         36      0.0698141       0.094992            100
    36         37      0.0698141        1.18139            100
    37         38      0.0698141       0.298153            100
    38         39      0.0698141       0.298153            100
    39         40      0.0698141       0.248542            100
    40         41      0.0698141       0.121018            100
    41         42      0.0698141       0.121018            100
    42         43      0.0698141      0.0730592            100
    43         44      0.0698141       0.134714            100
    44         45      0.0698141       0.134714            100
    45         46      0.0698141       0.123082            100
    46         47      0.0698141       0.347221            100
    47         48      0.0698141       0.150175            100
    48         49      0.0698141       0.150175            100
    49         50      0.0698141       0.130371            100
    50         51      0.0698141       0.234326            100
    51         52      0.0698141       0.234326            100
    52         53      0.0698141       0.234326            100
    53         54      0.0698141        2.29579            100
    54         55      0.0698141       0.071471            100
    55         56      0.0698141       0.172266            100
    56         57      0.0698141       0.126455            100
    57         58      0.0698141       0.177063            100
    58         59      0.0698141       0.177063            100
    59         60      0.0698141      0.0743727            100
    60         61      0.0698141      0.0725896            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0698141       0.517563            100
    62         63      0.0698141       0.296932            100
    63         64      0.0698141       0.236652            100
    64         65      0.0698141       0.310219            100
    65         66      0.0698141       0.121617            100
    66         67      0.0698141       0.284123            100
    67         68      0.0698141        1.69594            100
    68         69      0.0698141      0.0713287            100
    69         70      0.0698141       0.322618            100
    70         71      0.0698141       0.145443            100
