\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempboltzexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 100
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1       0.109676       0.109676            100
     1          2       0.109676       0.135468         144.27
     2          3       0.109676       0.177858        91.0239
     3          4       0.109676       0.110079        72.1348
     4          5       0.109676       0.110667        62.1335
     5          6       0.109676       0.136816        55.8111
     6          7       0.109676       0.136816        51.3898
     7          8       0.109676       0.136816        48.0898
     8          9      0.0797537      0.0797537         45.512
     9         10      0.0797537      0.0797537        43.4294
    10         11      0.0797537      0.0797537        41.7032
    11         12      0.0797537      0.0797537         40.243
    12         13      0.0797537      0.0797537        38.9871
    13         14      0.0797537      0.0797537        37.8923
    14         15      0.0797537      0.0797537        36.9269
    15         16      0.0797537      0.0797537        36.0674
    16         17      0.0797537      0.0797537        35.2956
    17         18      0.0797537      0.0797537        34.5976
    18         19      0.0797537      0.0797537        33.9623
    19         20      0.0797537      0.0797537        33.3808
    20         21      0.0797537      0.0797537        32.8459
    21         22      0.0797537      0.0797537        32.3515
    22         23      0.0797537      0.0797537        31.8929
    23         24      0.0797537      0.0797537        31.4658
    24         25      0.0797537      0.0797537        31.0667
    25         26      0.0797537      0.0797537        30.6928
    26         27      0.0797537      0.0797537        30.3413
    27         28      0.0797537      0.0797537        30.0102
    28         29      0.0797537      0.0797537        29.6974
    29         30      0.0797537      0.0797537        29.4014
    30         31      0.0797537      0.0797537        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0797537      0.0797537        28.8539
    32         33      0.0797537      0.0797537           28.6
    33         34      0.0797537      0.0797537        28.3578
    34         35      0.0797537      0.0797537        28.1266
    35         36      0.0797537      0.0797537        27.9055
    36         37      0.0797537      0.0797537        27.6938
    37         38      0.0797537      0.0797537        27.4908
    38         39      0.0797537      0.0797537        27.2958
    39         40      0.0797537      0.0797537        27.1085
    40         41      0.0797537      0.0797537        26.9283
    41         42      0.0797537      0.0797537        26.7546
    42         43      0.0797537      0.0797537        26.5873
    43         44      0.0797537      0.0797537        26.4257
    44         45      0.0797537      0.0797537        26.2697
    45         46      0.0797537      0.0797537        26.1189
    46         47      0.0797537      0.0797537         25.973
    47         48      0.0797537      0.0797537        25.8318
    48         49      0.0797537      0.0797537        25.6949
    49         50      0.0797537      0.0797537        25.5622
    50         51      0.0797537      0.0797537        25.4335
    51         52      0.0797537      0.0797537        25.3085
    52         53      0.0797537      0.0797537        25.1871
    53         54      0.0797537      0.0797537         25.069
    54         55      0.0797537      0.0797537        24.9543
    55         56      0.0797537      0.0797537        24.8425
    56         57      0.0797537      0.0797537        24.7338
    57         58      0.0797537      0.0797537        24.6279
    58         59      0.0797537      0.0797537        24.5246
    59         60      0.0797537      0.0797537        24.4239
    60         61      0.0797537      0.0797537        24.3257

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0797537      0.0797537        24.2299
    62         63      0.0797537      0.0797537        24.1363
    63         64      0.0797537      0.0797537        24.0449
    64         65      0.0797537      0.0797537        23.9556
    65         66      0.0797537      0.0797537        23.8683
    66         67      0.0797537      0.0797537         23.783
    67         68      0.0797537      0.0797537        23.6994
    68         69      0.0797537      0.0797537        23.6177
    69         70      0.0797537      0.0797537        23.5377
    70         71      0.0797537      0.0797537        23.4594
    71         72      0.0797537      0.0797537        23.3827
    72         73      0.0797537      0.0797537        23.3075
    73         74      0.0797537      0.0797537        23.2338
    74         75      0.0797537      0.0797537        23.1616
    75         76      0.0797537      0.0797537        23.0908
    76         77      0.0797537      0.0797537        23.0213
    77         78      0.0797537      0.0797537        22.9531
    78         79      0.0797537      0.0797537        22.5936
    79         80      0.0797537      0.0797537        21.4639
    80         81      0.0797537      0.0797537        20.3907
    81         82      0.0797537      0.0797537        19.3711
    82         83      0.0797537      0.0797537        18.4026
    83         84      0.0797537      0.0797537        17.4825
    84         85      0.0797537      0.0797537        16.6083
    85         86      0.0797537      0.0797537        15.7779
    86         87      0.0797537      0.0797537         14.989
    87         88      0.0797537      0.0797537        14.2396
    88         89      0.0797537      0.0797537        13.5276
    89         90      0.0797537      0.0797537        12.8512
