HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = 0.109676
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.44 | Tmax = 0.135468
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.01 | Tmax = 0.177858
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.030 | alpha = 1.14 | Tmax = 0.110079
 HL = 0.500 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.136816
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.160072
 HL = 1.000 | t1//t0 = 40.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.293300
 HL = 1.000 | t1//t0 = 200.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.156782
 HL = 0.200 | t1//t0 = 170.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.319141
 HL = 2.000 | t1//t0 = 18.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 0.397231
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.300 | alpha = 1.02 | Tmax = 0.133598
 HL = 0.200 | t1//t0 = 160.000 | l1//l0 = 0.500 | alpha = 1.12 | Tmax = 0.157659
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.01 | Tmax = 0.126205
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.005 | alpha = 1.06 | Tmax = 0.155923
 HL = 2.000 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.276336
 HL = 0.500 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123758
 HL = 2.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.523789
 HL = 2.000 | t1//t0 = 180.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 0.266498
 HL = 15.000 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 2.544041
 HL = 2.000 | t1//t0 = 15.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.548584
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.092435
 HL = 0.500 | t1//t0 = 190.000 | l1//l0 = 1.000 | alpha = 1.02 | Tmax = 0.129640
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.32 | Tmax = 0.080064
 HL = 1.000 | t1//t0 = 220.000 | l1//l0 = 0.700 | alpha = 1.40 | Tmax = 0.157264
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.15 | Tmax = 0.122317
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.174846
 HL = 0.500 | t1//t0 = 11.000 | l1//l0 = 0.070 | alpha = 1.08 | Tmax = 0.173949
 HL = 5.000 | t1//t0 = 30.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 0.314552
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.128118
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.15 | Tmax = 0.278728
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 0.100 | alpha = 1.28 | Tmax = 0.079929
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.32 | Tmax = 0.116608
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.330060
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.15 | Tmax = 0.128943
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.10 | Tmax = 0.149191
 HL = 5.000 | t1//t0 = 220.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = Inf
 HL = 0.500 | t1//t0 = 100.000 | l1//l0 = 0.500 | alpha = 1.06 | Tmax = 0.165747
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.44 | Tmax = 0.903918
 HL = 0.500 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.17 | Tmax = 0.130054
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.001 | alpha = 1.34 | Tmax = 0.082853
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.17 | Tmax = 0.129136
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.003 | alpha = 1.00 | Tmax = 0.121710
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 0.030 | alpha = 1.06 | Tmax = 0.102893
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.050 | alpha = 1.24 | Tmax = 0.108358
 HL = 0.500 | t1//t0 = 15.000 | l1//l0 = 0.300 | alpha = 1.11 | Tmax = 0.149418
 HL = 0.200 | t1//t0 = 160.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.344764
 HL = 2.000 | t1//t0 = 90.000 | l1//l0 = 1.000 | alpha = 1.01 | Tmax = 0.549756
 HL = 2.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.39 | Tmax = 0.269948
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.18 | Tmax = 0.139852
