\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1      0.0932996      0.0932996            100
     1          2      0.0932996      0.0932996             50
     2          3      0.0932996      0.0932996        33.3333
     3          4      0.0932996      0.0932996             25
     4          5      0.0932996      0.0932996             20
     5          6      0.0932996       0.230094        16.6667
     6          7      0.0932996       0.230094        14.2857
     7          8      0.0932996       0.230094           12.5
     8          9      0.0932996       0.230094        11.1111
     9         10      0.0890066      0.0890066             10
    10         11      0.0890066      0.0890066        9.09091
    11         12      0.0890066       0.917295        8.33333
    12         13      0.0890066      0.0954608        7.69231
    13         14      0.0890066      0.0954608        7.14286
    14         15      0.0890066      0.0954608        6.66667
    15         16      0.0890066      0.0954608           6.25
    16         17      0.0890066       0.139503        5.88235
    17         18      0.0890066       0.119302        5.55556
    18         19      0.0890066       0.119302        5.26316
    19         20      0.0890066       0.119302              5
    20         21      0.0890066       0.119302         4.7619
    21         22      0.0890066       0.119302        4.54545
    22         23      0.0890066       0.119302        4.34783
    23         24      0.0890066       0.190996        4.16667
    24         25      0.0890066       0.190996              4
    25         26      0.0890066       0.190996        3.84615
    26         27      0.0890066       0.190996         3.7037
    27         28      0.0890066       0.190996        3.57143
    28         29      0.0890066       0.240888        3.44828
    29         30      0.0890066       0.240888        3.33333
*   30         31      0.0890066       0.159948            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0890066       0.159948             50
    32         33      0.0890066       0.159948        33.3333
    33         34      0.0890066       0.159948             25
    34         35      0.0890066       0.159948             20
    35         36      0.0890066       0.159948        16.6667
    36         37      0.0890066       0.159948        14.2857
    37         38      0.0890066       0.159948           12.5
    38         39      0.0890066       0.178664        11.1111
    39         40      0.0890066       0.178664             10
    40         41      0.0890066       0.141241        9.09091
    41         42      0.0890066      0.0952819        8.33333
    42         43      0.0890066      0.0952819        7.69231
    43         44      0.0890066      0.0952819        7.14286
    44         45      0.0890066       0.264906        6.66667
    45         46      0.0881571      0.0881571           6.25
    46         47      0.0881571      0.0881571        5.88235
    47         48      0.0881571       0.285979        5.55556
    48         49      0.0881571       0.285979        5.26316
    49         50      0.0881571       0.225754              5
    50         51      0.0881571       0.169904         4.7619
