\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1      0.0932996      0.0932996            100
     1          2      0.0932996      0.0932996          90.25
     2          3      0.0932996      0.0932996        85.7375
     3          4      0.0932996      0.0932996        81.4506
     4          5      0.0932996      0.0932996        77.3781
     5          6      0.0932996      0.0932996        73.5092
     6          7      0.0932996      0.0932996        69.8337
     7          8      0.0932996      0.0932996         66.342
     8          9      0.0932996      0.0932996        63.0249
     9         10      0.0932996      0.0932996        59.8737
    10         11      0.0932996      0.0932996          56.88
    11         12      0.0932996      0.0932996         54.036
    12         13      0.0932996      0.0932996        51.3342
    13         14      0.0932996      0.0932996        48.7675
    14         15      0.0932996      0.0932996        46.3291
    15         16      0.0932996      0.0932996        44.0127
    16         17      0.0932996      0.0932996         41.812
    17         18      0.0932996       0.122195        39.7214
    18         19      0.0932996       0.122195        37.7354
    19         20      0.0932996       0.122195        35.8486
    20         21      0.0932996       0.122195        34.0562
    21         22      0.0932996       0.121029        32.3534
    22         23      0.0932996       0.121029        30.7357
    23         24      0.0932996        0.16117        29.1989
    24         25      0.0932996       0.107541         27.739
    25         26      0.0932996       0.107541         26.352
    26         27      0.0932996       0.107541        25.0344
    27         28      0.0932996       0.107541        23.7827
    28         29      0.0912975      0.0912975        22.5936
    29         30      0.0912975      0.0912975        21.4639
    30         31      0.0890412      0.0890412        20.3907

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0890412      0.0890412        19.3711
    32         33      0.0890412      0.0890412        18.4026
    33         34      0.0890412      0.0890412        17.4825
    34         35      0.0890412      0.0890412        16.6083
    35         36      0.0890412      0.0890412        15.7779
    36         37      0.0890412      0.0890412         14.989
    37         38      0.0890412      0.0890412        14.2396
    38         39      0.0890412      0.0890412        13.5276
    39         40      0.0890412      0.0890412        12.8512
    40         41      0.0890412      0.0890412        12.2087
    41         42      0.0890412       0.119666        11.5982
    42         43      0.0890412       0.119666        11.0183
    43         44      0.0890412       0.257343        10.4674
    44         45      0.0890412       0.257343        9.94403
    45         46      0.0890412       0.257343        9.44682
    46         47      0.0890412       0.257343        8.97448
    47         48      0.0890412       0.257343        8.52576
    48         49      0.0890412       0.257343        8.09947
    49         50      0.0890412       0.257343         7.6945
*   50         51      0.0890412       0.128676             95
    51         52      0.0890412       0.128676          90.25
    52         53      0.0890412       0.128676        85.7375
    53         54      0.0890412       0.128676        81.4506
    54         55      0.0890412       0.128676        77.3781
    55         56      0.0890412       0.128676        73.5092
    56         57      0.0890412       0.128676        69.8337
    57         58      0.0890412       0.128676         66.342
    58         59      0.0890412       0.128676        63.0249
    59         60      0.0890412       0.128676        59.8737
    60         61      0.0890412       0.128676          56.88

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0890412       0.128676         54.036
    62         63      0.0890412       0.128676        51.3342
    63         64      0.0890412       0.128676        48.7675
    64         65      0.0890412       0.128676        46.3291
    65         66      0.0890412       0.536572        44.0127
    66         67      0.0890412       0.536572         41.812
    67         68      0.0890412       0.536572        39.7214
    68         69      0.0890412       0.536572        37.7354
    69         70      0.0890412       0.386886        35.8486
    70         71      0.0890412       0.267134        34.0562
    71         72      0.0890412         0.1411        32.3534
    72         73      0.0890412       0.176958        30.7357
    73         74      0.0890412       0.176958        29.1989
    74         75      0.0890412       0.176958         27.739
    75         76      0.0890412       0.176958         26.352
    76         77      0.0890412       0.176958        25.0344
    77         78      0.0890412       0.168691        23.7827
    78         79      0.0890412       0.168691        22.5936
    79         80      0.0890412        0.44024        21.4639
    80         81      0.0890412        0.44024        20.3907
    81         82      0.0890412       0.171398        19.3711
    82         83      0.0890412       0.171398        18.4026
    83         84      0.0890412       0.154803        17.4825
    84         85      0.0890412       0.154803        16.6083
    85         86      0.0890412       0.154803        15.7779
    86         87      0.0890412       0.154803         14.989
*   87         88      0.0890412       0.133928             95
    88         89      0.0890412       0.333199          90.25
    89         90      0.0890412       0.333199        85.7375
    90         91      0.0890412       0.333199        81.4506

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0890412       0.333199        77.3781
    92         93      0.0890412       0.333199        73.5092
    93         94      0.0890412       0.333199        69.8337
    94         95      0.0890412       0.333199         66.342
    95         96      0.0890412       0.333199        63.0249
    96         97      0.0890412       0.333199        59.8737
    97         98      0.0890412       0.191368          56.88
    98         99      0.0890412       0.191368         54.036
    99        100      0.0890412       0.191368        51.3342
   100        101      0.0890412       0.191368        48.7675
   101        102      0.0890412       0.191368        46.3291
   102        103      0.0890412       0.191368        44.0127
   103        104      0.0890412       0.191368         41.812
   104        105      0.0890412       0.191368        39.7214
   105        106      0.0890412       0.132808        37.7354
   106        107      0.0890412       0.132808        35.8486
   107        108      0.0890412       0.132808        34.0562
   108        109      0.0890412        1.30497        32.3534
   109        110      0.0890412        1.16602        30.7357
   110        111      0.0890412        1.16602        29.1989
   111        112      0.0890412       0.111838         27.739
   112        113      0.0890412       0.111838         26.352
   113        114      0.0890412       0.111838        25.0344
   114        115      0.0890412       0.111838        23.7827
   115        116      0.0890412       0.111838        22.5936
   116        117      0.0890412      0.0939706        21.4639
   117        118      0.0890412      0.0939706        20.3907
   118        119      0.0890412      0.0939706        19.3711
   119        120      0.0890412      0.0939706        18.4026
   120        121      0.0890412      0.0939706        17.4825

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0890412       0.168198        16.6083
   122        123      0.0890412       0.168198        15.7779
