\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @tempboltzexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 10
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1      0.0932996      0.0932996            100
     1          2      0.0932996      0.0932996         144.27
     2          3      0.0932996      0.0932996        91.0239
     3          4      0.0932996      0.0932996        72.1348
     4          5      0.0932996      0.0932996        62.1335
     5          6      0.0932996      0.0932996        55.8111
     6          7      0.0932996      0.0932996        51.3898
     7          8      0.0932996       0.230094        48.0898
     8          9      0.0932996       0.230094         45.512
     9         10      0.0932996       0.433243        43.4294
    10         11      0.0932996       0.433243        41.7032
    11         12      0.0932996       0.433243         40.243
    12         13      0.0932996       0.433243        38.9871
    13         14      0.0932996       0.433243        37.8923
    14         15      0.0932996       0.433243        36.9269
    15         16      0.0932996       0.309496        36.0674
    16         17      0.0932996       0.309496        35.2956
    17         18      0.0932996       0.110794        34.5976
    18         19      0.0932996       0.110794        33.9623
    19         20      0.0932996       0.114611        33.3808
    20         21      0.0932996       0.114611        32.8459
    21         22      0.0932996       0.114611        32.3515
    22         23      0.0932996       0.114611        31.8929
    23         24      0.0932996       0.114611        31.4658
    24         25      0.0932996       0.114611        31.0667
    25         26      0.0932996       0.114611        30.6928
    26         27      0.0932996       0.114611        30.3413
    27         28      0.0932996       0.114611        30.0102
    28         29      0.0912975      0.0912975        29.6974
    29         30      0.0912975      0.0912975        29.4014
    30         31      0.0912975      0.0912975        29.1207

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0912975      0.0912975        28.8539
    32         33      0.0912975      0.0912975           28.6
    33         34      0.0912975      0.0912975        28.3578
