\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperaturefast
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.159015       0.159015             50
     2          3       0.159015       0.159015        33.3333
     3          4       0.159015       0.159015             25
     4          5       0.159015       0.159015             20
     5          6       0.159015       0.159015        16.6667
     6          7       0.159015       0.159015        14.2857
     7          8       0.159015       0.159015           12.5
     8          9       0.159015       0.159015        11.1111
     9         10       0.159015       0.159015             10
    10         11       0.159015       0.159015        9.09091
    11         12       0.159015       0.159015        8.33333
    12         13       0.159015       0.159015        7.69231
    13         14       0.159015       0.159015        7.14286
    14         15       0.159015       0.159015        6.66667
    15         16       0.159015       0.159015           6.25
    16         17       0.159015       0.159015        5.88235
    17         18       0.159015       0.159015        5.55556
    18         19       0.159015       0.159015        5.26316
    19         20       0.159015       0.159015              5
    20         21       0.159015       0.159015         4.7619
    21         22       0.159015       0.159015        4.54545
    22         23       0.159015       0.159015        4.34783
    23         24       0.159015       0.159015        4.16667
    24         25       0.159015       0.159015              4
    25         26       0.159015       0.159015        3.84615
    26         27       0.159015       0.159015         3.7037
    27         28       0.159015       0.159015        3.57143
    28         29       0.159015       0.159015        3.44828
    29         30       0.159015       0.159015        3.33333
    30         31       0.159015       0.159015        3.22581

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32       0.159015       0.159015          3.125
    32         33       0.159015       0.159015         3.0303
    33         34       0.159015       0.159015        2.94118
    34         35       0.159015       0.159015        2.85714
    35         36       0.159015       0.159015        2.77778
    36         37       0.159015       0.159015         2.7027
    37         38       0.159015       0.159015        2.63158
    38         39       0.159015       0.159015         2.5641
    39         40       0.159015       0.159015            2.5
    40         41       0.159015       0.159015        2.43902
    41         42       0.159015       0.159015        2.38095
