\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temperatureexp
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 50
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.159015       0.159015          90.25
     2          3       0.149433       0.149433        85.7375
     3          4       0.149433       0.242663        81.4506
     4          5       0.143278       0.143278        77.3781
     5          6       0.143278       0.143278        73.5092
     6          7       0.143278       0.452458        69.8337
     7          8      0.0691766      0.0691766         66.342
     8          9      0.0691766      0.0691766        63.0249
     9         10      0.0664729      0.0664729        59.8737
    10         11      0.0664729       0.385365          56.88
    11         12      0.0664729      0.0934906         54.036
    12         13      0.0664729      0.0934906        51.3342
    13         14      0.0664729       0.480118        48.7675
    14         15      0.0664729      0.0682126        46.3291
    15         16      0.0664729      0.0682126        44.0127
    16         17      0.0664729          2.047         41.812
    17         18      0.0664729       0.375423        39.7214
    18         19      0.0664729       0.142316        37.7354
    19         20      0.0664729       0.142316        35.8486
    20         21      0.0639984      0.0639984        34.0562
    21         22      0.0639984      0.0639984        32.3534
    22         23      0.0639984      0.0913313        30.7357
    23         24      0.0639984       0.131055        29.1989
    24         25       0.063045       0.063045         27.739
    25         26       0.063045       0.063045         26.352
    26         27      0.0622143      0.0622143        25.0344
    27         28      0.0622143      0.0622143        23.7827
    28         29      0.0622143      0.0656343        22.5936
    29         30      0.0622143      0.0656343        21.4639
    30         31      0.0622143      0.0656343        20.3907

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0621326      0.0621326        19.3711
    32         33      0.0621326      0.0621326        18.4026
    33         34      0.0621326      0.0621326        17.4825
    34         35      0.0621326      0.0621326        16.6083
    35         36      0.0621326      0.0621326        15.7779
    36         37      0.0621326      0.0621326         14.989
    37         38      0.0621326       0.145752        14.2396
    38         39      0.0621326       0.139915        13.5276
    39         40      0.0621326       0.224771        12.8512
    40         41      0.0621326       0.147831        12.2087
    41         42      0.0621326      0.0685471        11.5982
    42         43      0.0621326       0.074839        11.0183
    43         44      0.0621326       0.074839        10.4674
    44         45      0.0621326       0.167161        9.94403
    45         46      0.0621326       0.167161        9.44682
    46         47      0.0621326       0.167161        8.97448
    47         48      0.0621326      0.0733285        8.52576
    48         49      0.0621326      0.0687127        8.09947
    49         50      0.0621326      0.0740297         7.6945
    50         51      0.0621326      0.0725553        7.30977
    51         52      0.0621326      0.0725553        6.94428
    52         53      0.0621326      0.0725553        6.59707
    53         54      0.0621326      0.0699503        6.26722
    54         55      0.0621326       0.140809        5.95386
    55         56      0.0621326      0.0631139        5.65616
    56         57      0.0621326      0.0630088        5.37335
    57         58      0.0621326       0.062712        5.10469
    58         59      0.0621326       0.062712        4.84945
    59         60      0.0621326      0.0630088        4.60698
    60         61      0.0621326      0.0630088        4.37663

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0621326      0.0630088         4.1578
    62         63      0.0621326      0.0630088        3.94991
    63         64      0.0621326      0.0623588        3.75241
    64         65      0.0621326      0.0627373        3.56479
    65         66      0.0621326      0.0656788        3.38655
    66         67      0.0621326      0.0652303        3.21723
    67         68      0.0621326      0.0648284        3.05636
    68         69      0.0621326      0.0626963        2.90355
    69         70      0.0621326      0.0626963        2.75837
    70         71      0.0621326      0.0625831        2.62045
    71         72      0.0621326      0.0622087        2.48943
    72         73      0.0621326      0.0622087        2.36496
    73         74      0.0621326      0.0623084        2.24671
    74         75      0.0621326      0.0623084        2.13437
    75         76      0.0621326      0.0659445        2.02765
*   76         77      0.0621326      0.0648284             95
    77         78      0.0621326       0.100788          90.25
    78         79      0.0621326      0.0655427        85.7375
    79         80      0.0621326      0.0634862        81.4506
    80         81      0.0621326      0.0634862        77.3781
    81         82      0.0621326       0.167859        73.5092
    82         83      0.0621326       0.124114        69.8337
    83         84      0.0621326      0.0671369         66.342
    84         85      0.0621326        0.08216        63.0249
    85         86      0.0621326       0.122484        59.8737
    86         87      0.0621326       0.122484          56.88
    87         88      0.0621326       0.122484         54.036
    88         89      0.0621326       0.144901        51.3342
    89         90      0.0621326       0.125672        48.7675
    90         91      0.0618199      0.0618199        46.3291

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0618199      0.0618199        44.0127
    92         93      0.0618199      0.0618199         41.812
    93         94      0.0618199       0.134877        39.7214
    94         95      0.0618199       0.115993        37.7354
    95         96      0.0618199       0.115993        35.8486
    96         97      0.0618199      0.0631783        34.0562
    97         98      0.0618199         0.1346        32.3534
    98         99      0.0618199       0.501924        30.7357
    99        100      0.0618199       0.124532        29.1989
   100        101      0.0618199       0.132696         27.739
   101        102      0.0618199       0.125651         26.352
   102        103      0.0618199        0.31164        25.0344
   103        104      0.0618199       0.067942        23.7827
   104        105      0.0618199       0.067942        22.5936
   105        106      0.0618199       0.067942        21.4639
   106        107      0.0618199       0.131145        20.3907
   107        108      0.0618199      0.0625055        19.3711
   108        109      0.0618199      0.0625055        18.4026
   109        110      0.0618199       0.119656        17.4825
   110        111      0.0618199      0.0633614        16.6083
   111        112      0.0618199       0.110601        15.7779
   112        113      0.0618199      0.0713327         14.989
   113        114      0.0618199      0.0724605        14.2396
   114        115      0.0618199      0.0724605        13.5276
   115        116      0.0618199       0.112194        12.8512
   116        117      0.0618199       0.068491        12.2087
   117        118      0.0618199       0.068491        11.5982
   118        119      0.0618199      0.0650704        11.0183
   119        120      0.0618199      0.0716389        10.4674
   120        121      0.0618199      0.0716389        9.94403

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0614409      0.0614409        9.44682
   122        123      0.0614409      0.0614409        8.97448
   123        124      0.0614409      0.0964664        8.52576
   124        125      0.0614409      0.0630029        8.09947
   125        126      0.0614409      0.0621032         7.6945
   126        127      0.0614409      0.0728712        7.30977
   127        128      0.0614409      0.0693446        6.94428
   128        129      0.0614409      0.0693446        6.59707
   129        130      0.0614409      0.0652274        6.26722
   130        131      0.0614409      0.0618674        5.95386
   131        132      0.0614409      0.0624144        5.65616
   132        133      0.0614409      0.0624144        5.37335
   133        134      0.0614409       0.089909        5.10469
   134        135      0.0614409        0.06318        4.84945
   135        136      0.0614409       0.062406        4.60698
   136        137      0.0614409       0.062406        4.37663
   137        138      0.0614409      0.0863611         4.1578
   138        139      0.0614409       0.061486        3.94991
   139        140      0.0614409       0.061486        3.75241
   140        141      0.0614409       0.061486        3.56479
   141        142      0.0614409       0.061486        3.38655
   142        143      0.0611271      0.0611271        3.21723
   143        144      0.0611271      0.0611271        3.05636
   144        145      0.0611271      0.0881413        2.90355
   145        146      0.0611271      0.0631113        2.75837
   146        147      0.0611271      0.0631113        2.62045
*  147        148      0.0611271      0.0627992             95
   148        149      0.0611271      0.0714882          90.25
   149        150      0.0611271      0.0635576        85.7375
   150        151      0.0611271       0.103549        81.4506

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   151        152      0.0611271       0.138018        77.3781
   152        153      0.0611271       0.439701        73.5092
   153        154      0.0611271       0.305485        69.8337
   154        155      0.0611271       0.278427         66.342
   155        156      0.0611271      0.0691766        63.0249
   156        157      0.0611271      0.0691766        59.8737
   157        158      0.0611271      0.0691766          56.88
   158        159      0.0611271      0.0691766         54.036
   159        160      0.0611271      0.0691766        51.3342
   160        161      0.0611271      0.0691766        48.7675
   161        162      0.0611271       0.189456        46.3291
   162        163      0.0611271       0.146461        44.0127
   163        164      0.0611271       0.283508         41.812
   164        165      0.0611271      0.0632012        39.7214
   165        166      0.0611271      0.0630907        37.7354
   166        167      0.0611271      0.0630907        35.8486
   167        168      0.0611271       0.122896        34.0562
   168        169      0.0611271       0.124814        32.3534
   169        170      0.0611271       0.132696        30.7357
   170        171      0.0611271       0.292637        29.1989
   171        172      0.0611271      0.0635838         27.739
   172        173      0.0611271       0.125658         26.352
   173        174      0.0611271       0.105278        25.0344
   174        175      0.0611271      0.0902716        23.7827
   175        176      0.0611271      0.0661688        22.5936
   176        177      0.0611271       0.062903        21.4639
   177        178      0.0611271      0.0626969        20.3907
   178        179      0.0611271      0.0626969        19.3711
   179        180      0.0607434      0.0607434        18.4026
   180        181      0.0607434      0.0625661        17.4825

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   181        182      0.0607434      0.0625661        16.6083
   182        183      0.0607434      0.0945361        15.7779
   183        184      0.0607434      0.0774258         14.989
   184        185      0.0607434      0.0636935        14.2396
   185        186      0.0607434      0.0631184        13.5276
   186        187      0.0607434      0.0638812        12.8512
   187        188      0.0607434      0.0638812        12.2087
   188        189      0.0607434      0.0644654        11.5982
   189        190      0.0607434       0.063029        11.0183
   190        191      0.0607434      0.0649479        10.4674
   191        192      0.0607434      0.0727902        9.94403
   192        193      0.0607434      0.0886033        9.44682
   193        194      0.0607434      0.0615524        8.97448
   194        195      0.0607434      0.0615524        8.52576
   195        196      0.0607434      0.0866059        8.09947
   196        197      0.0607434      0.0640794         7.6945
   197        198      0.0607434      0.0634062        7.30977
   198        199      0.0607434      0.0634062        6.94428
   199        200      0.0607434      0.0637615        6.59707
   200        201      0.0607434      0.0618672        6.26722
   201        202      0.0607434      0.0618672        5.95386
   202        203      0.0607434      0.0677792        5.65616
   203        204      0.0607434      0.0692763        5.37335
   204        205      0.0607434      0.0611487        5.10469
   205        206      0.0607434      0.0666386        4.84945
   206        207      0.0607434      0.0628587        4.60698
   207        208      0.0607434      0.0610405        4.37663
   208        209      0.0607434      0.0610405         4.1578
   209        210      0.0607434      0.0639328        3.94991
*  210        211      0.0607434      0.0643107             95

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   211        212      0.0607434      0.0643107          90.25
   212        213      0.0607434       0.125268        85.7375
   213        214      0.0607434       0.125268        81.4506
   214        215      0.0607434       0.125268        77.3781
   215        216      0.0607434       0.310118        73.5092
   216        217      0.0607434       0.310118        69.8337
   217        218      0.0607434       0.172717         66.342
   218        219      0.0607434      0.0670041        63.0249
   219        220      0.0607434       0.118179        59.8737
   220        221      0.0607434       0.134455          56.88
   221        222      0.0607434      0.0758251         54.036
   222        223      0.0607434      0.0758251        51.3342
   223        224      0.0607434      0.0662878        48.7675
   224        225      0.0607434      0.0639488        46.3291
   225        226      0.0607434      0.0938347        44.0127
   226        227      0.0607434      0.0938347         41.812
   227        228      0.0607434       0.233134        39.7214
   228        229      0.0607434       0.082796        37.7354
   229        230      0.0607434       0.082796        35.8486
   230        231      0.0607434       0.127744        34.0562
   231        232      0.0607434       0.146842        32.3534
   232        233      0.0607434       0.135638        30.7357
   233        234      0.0607434      0.0622776        29.1989
   234        235      0.0607434       0.212091         27.739
   235        236      0.0607434       0.062343         26.352
   236        237      0.0607434       0.062343        25.0344
   237        238      0.0607434      0.0737513        23.7827
   238        239      0.0607434      0.0737513        22.5936
   239        240      0.0607434      0.0648378        21.4639
   240        241      0.0607434      0.0625459        20.3907

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   241        242      0.0607434      0.0625459        19.3711
   242        243      0.0607434      0.0625459        18.4026
   243        244      0.0607434      0.0617149        17.4825
   244        245      0.0607434      0.0617149        16.6083
   245        246      0.0607434      0.0649773        15.7779
   246        247      0.0607434      0.0855439         14.989
   247        248      0.0607434      0.0643835        14.2396
   248        249      0.0607434      0.0624118        13.5276
   249        250      0.0607434      0.0624118        12.8512
   250        251      0.0607434      0.0624118        12.2087
   251        252      0.0607434      0.0621156        11.5982
   252        253      0.0607434      0.0614868        11.0183
   253        254      0.0607434      0.0724699        10.4674
   254        255      0.0607434      0.0624636        9.94403
