\nSimulated Annealing...Discreted\n

	 Fitness Limit : -Inf
Diagnostic information.
	objective function = @sa_cav_y_4dof
	X0 = [  1 9 0.7 1.34 ]
Modified options:
	options.AnnealingFcn = @d_annealing_c4
	options.TemperatureFcn = @temphsa
	options.StallIterLimit = 1000
	options.InitialTemperature = [  100 100 100 100 ]
	options.Display = 'diagnose'
	options.ReannealInterval = 100
	options.DisplayInterval = 1 
	options.AcceptanceFcn = @acceptancesa
End of diagnostic information.


                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
     0          1            Inf            Inf            100
     1          2       0.159015       0.159015            100
     2          3       0.149433       0.149433            100
     3          4       0.140717       0.140717            100
     4          5       0.140717       0.242663            100
     5          6       0.140717       0.242663            100
     6          7       0.140717       0.242663            100
     7          8       0.140717       0.242663            100
     8          9      0.0623018      0.0623018            100
     9         10      0.0623018      0.0623018            100
    10         11      0.0623018      0.0624599            100
    11         12      0.0623018      0.0624599            100
    12         13      0.0623018        1.71425            100
    13         14      0.0623018        1.71425            100
    14         15      0.0623018       0.063045            100
    15         16      0.0623018       0.063045            100
    16         17      0.0623018       0.284284            100
    17         18      0.0623018       0.168697            100
    18         19      0.0623018       0.132781            100
    19         20      0.0623018       0.132781            100
    20         21      0.0623018        0.12968            100
    21         22      0.0623018        0.12968            100
    22         23      0.0623018      0.0929376            100
    23         24      0.0623018       0.176404            100
    24         25      0.0623018        0.12355            100
    25         26      0.0623018        0.12355            100
    26         27      0.0623018       0.119209            100
    27         28      0.0623018       0.218114            100
    28         29      0.0623018       0.218114            100
    29         30      0.0623018       0.452458            100
    30         31      0.0623018       0.147711            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    31         32      0.0623018       0.147711            100
    32         33      0.0623018       0.147711            100
    33         34      0.0623018      0.0691766            100
    34         35      0.0623018      0.0630088            100
    35         36      0.0623018      0.0630088            100
    36         37      0.0623018       0.212906            100
    37         38      0.0623018       0.123295            100
    38         39      0.0623018       0.123295            100
    39         40      0.0623018       0.123295            100
[Warning: Unable to complete the meshing step. Please try the alternate mesher
version that can be selected in pdetool using the Mesh Parameters dialog or in
the initmesh function using the 'MesherVersion', 'R2013a' option.] 
    40         41      0.0623018       0.123295            100
    41         42      0.0623018       0.118274            100
    42         43      0.0623018      0.0636008            100
    43         44      0.0623018      0.0636008            100
    44         45      0.0623018      0.0636008            100
    45         46      0.0616965      0.0616965            100
    46         47      0.0616965      0.0742662            100
    47         48      0.0616965      0.0742662            100
    48         49      0.0616965      0.0742662            100
    49         50      0.0616965      0.0742662            100
    50         51      0.0616965      0.0742662            100
    51         52      0.0616965      0.0742662            100
    52         53      0.0616965       0.124144            100
    53         54      0.0616965       0.123943            100
    54         55      0.0616965       0.172855            100
    55         56      0.0616965      0.0693238            100
    56         57      0.0616965       0.516993            100
    57         58      0.0616965       0.324537            100
    58         59      0.0616965      0.0625055            100
    59         60      0.0616965       0.332189            100
    60         61      0.0616965       0.170462            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    61         62      0.0616965       0.236136            100
    62         63      0.0616965       0.149046            100
    63         64      0.0616965       0.149046            100
    64         65      0.0616965       0.149046            100
    65         66      0.0616965      0.0810155            100
    66         67      0.0616965      0.0810155            100
    67         68      0.0616965      0.0810155            100
    68         69      0.0616965      0.0629642            100
    69         70      0.0616965      0.0629642            100
    70         71      0.0616965      0.0629642            100
    71         72      0.0616965      0.0629642            100
    72         73      0.0616965      0.0629642            100
    73         74      0.0616965      0.0629642            100
    74         75      0.0616965      0.0629642            100
    75         76      0.0616965       0.455455            100
    76         77      0.0616965       0.227019            100
    77         78      0.0616965      0.0625443            100
    78         79      0.0616965       0.146721            100
    79         80      0.0616965       0.138018            100
    80         81      0.0616965       0.147831            100
    81         82      0.0616965       0.307129            100
    82         83      0.0616965       0.141015            100
    83         84      0.0616965       0.312742            100
    84         85      0.0616965       0.137857            100
    85         86      0.0616965       0.439701            100
    86         87      0.0616965       0.305485            100
    87         88      0.0616965      0.0691766            100
    88         89      0.0616965      0.0691766            100
    89         90      0.0616965       0.107036            100
    90         91      0.0616965       0.107036            100

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
    91         92      0.0616965       0.118384            100
    92         93      0.0616965      0.0640845            100
    93         94      0.0616965      0.0640845            100
    94         95      0.0616965      0.0640845            100
    95         96      0.0616965      0.0640845            100
    96         97      0.0616965      0.0925334            100
    97         98      0.0616965      0.0632249            100
    98         99      0.0616965      0.0632249            100
    99        100      0.0616965       0.062712            100
   100        101      0.0616965       0.062712             95
   101        102      0.0616965       0.143351          90.25
   102        103      0.0616965       0.149929        85.7375
   103        104      0.0616965        0.14848        81.4506
   104        105      0.0616965      0.0826137        77.3781
   105        106      0.0616965        0.12355        73.5092
   106        107      0.0616965       0.153636        69.8337
   107        108      0.0616965      0.0671171         66.342
   108        109      0.0616965      0.0671171        63.0249
   109        110      0.0616965       0.119155        59.8737
   110        111      0.0616965      0.0838695          56.88
   111        112      0.0616965      0.0838695         54.036
   112        113      0.0616965      0.0838695        51.3342
   113        114      0.0616965      0.0677252        48.7675
   114        115      0.0616965      0.0677252        46.3291
   115        116      0.0616965      0.0643885        44.0127
   116        117      0.0616965      0.0643885         41.812
   117        118      0.0616965       0.193502        39.7214
   118        119      0.0616965       0.121154        37.7354
   119        120      0.0616965       0.121154        35.8486
   120        121      0.0616965      0.0870217        34.0562

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   121        122      0.0616965      0.0638176        32.3534
   122        123      0.0616965      0.0728046        30.7357
   123        124      0.0616965       0.116762        29.1989
   124        125      0.0616965      0.0634332         27.739
   125        126      0.0616965      0.0634332         26.352
   126        127      0.0616965      0.0634332        25.0344
   127        128      0.0616965       0.244448        23.7827
   128        129      0.0616965       0.127019        22.5936
   129        130      0.0616965       0.127019        21.4639
   130        131      0.0616965       0.127019        20.3907
   131        132      0.0616965      0.0684748        19.3711
   132        133      0.0616965        0.45653        18.4026
   133        134      0.0616965        0.14389        17.4825
   134        135      0.0616965       0.113902        16.6083
   135        136      0.0616965      0.0630857        15.7779
   136        137      0.0616965       0.165723         14.989
   137        138      0.0616965      0.0628886        14.2396
   138        139      0.0616965      0.0669536        13.5276
   139        140      0.0616965      0.0627515        12.8512
   140        141      0.0616965      0.0627515        12.2087
   141        142      0.0616965       0.061929        11.5982
   142        143      0.0616965      0.0673596        11.0183
   143        144      0.0616965      0.0626611        10.4674
   144        145      0.0616965      0.0799179        9.94403
   145        146      0.0616965      0.0657168        9.44682
   146        147      0.0616965      0.0626242        8.97448
   147        148      0.0616965      0.0616965        8.52576
   148        149      0.0616965      0.0616965        8.09947
   149        150      0.0616965      0.0643122         7.6945
   150        151      0.0616965      0.0643122        7.30977

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
   151        152      0.0616965      0.0643122        6.94428
   152        153      0.0616965      0.0625041        6.59707
   153        154      0.0616965      0.0625041        6.26722
   154        155      0.0616965      0.0625041        5.95386
   155        156      0.0616965      0.0625041        5.65616
   156        157      0.0616965      0.0629596        5.37335
   157        158      0.0616965      0.0629596        5.10469
*  158        159      0.0616965      0.0770602            100
   159        160      0.0616965      0.0770602            100
   160        161      0.0616965      0.0770602            100
   161        162      0.0616965       0.135239            100
   162        163      0.0616965       0.135239            100
   163        164      0.0616965       0.118509            100
   164        165      0.0616965       0.487282            100
   165        166      0.0616965       0.151315            100
   166        167      0.0616965      0.0874599            100
   167        168      0.0616965      0.0635024            100
   168        169      0.0616965       0.168929            100
   169        170      0.0616965       0.304483            100
   170        171      0.0616965      0.0646938            100
   171        172      0.0616965      0.0646938            100
   172        173      0.0616965      0.0622776            100
