HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.12 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.02 | Tmax = 0.259421
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.36 | Tmax = 0.161818
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.003 | alpha = 1.05 | Tmax = 0.064937
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.010 | alpha = 1.19 | Tmax = 0.104925
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.27 | Tmax = 0.325399
 HL = 10.000 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.01 | Tmax = Inf
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.462808
 HL = 20.000 | t1//t0 = 20.000 | l1//l0 = 0.700 | alpha = 1.02 | Tmax = Inf
 HL = 28.000 | t1//t0 = 130.000 | l1//l0 = 0.070 | alpha = 1.23 | Tmax = Inf
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.52 | Tmax = 2.367465
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.25 | Tmax = 0.121723
 HL = 22.000 | t1//t0 = 110.000 | l1//l0 = 0.001 | alpha = 1.26 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.005 | alpha = 1.10 | Tmax = 0.160513
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.16 | Tmax = 0.126912
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.31 | Tmax = 0.093745
 HL = 20.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.37 | Tmax = Inf
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.21 | Tmax = 0.147145
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.264135
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.277635
 HL = 0.500 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.46 | Tmax = 0.094570
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.37 | Tmax = 0.117274
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.110438
 HL = 10.000 | t1//t0 = 70.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = Inf
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.35 | Tmax = 0.202399
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.38 | Tmax = 0.119213
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.37 | Tmax = 0.242313
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.35 | Tmax = 0.238906
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.100086
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 0.074452
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.36 | Tmax = 0.288230
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.39 | Tmax = 0.135821
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.39 | Tmax = 0.319486
 HL = 15.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 1.087260
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.40 | Tmax = 0.063611
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = 0.129036
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.44 | Tmax = 0.149316
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.43 | Tmax = 0.075920
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.42 | Tmax = 0.275212
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.51 | Tmax = 1.449592
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.46 | Tmax = 0.941596
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.45 | Tmax = 0.073671
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.47 | Tmax = 0.074397
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.111955
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.51 | Tmax = 0.105860
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 2.148829
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 0.405171
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.54 | Tmax = 1.476861
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.48 | Tmax = 0.199304
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.50 | Tmax = 1.217043
 HL = 1.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 0.140176
 HL = 10.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.56 | Tmax = 2.049146
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.50 | Tmax = 0.745881
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.071434
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.51 | Tmax = 1.973550
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.51 | Tmax = 1.193600
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.062069
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 0.090702
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 0.297743
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.038025
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.52 | Tmax = 0.410360
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.294101
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.53 | Tmax = 0.742248
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 1.243915
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.909000
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.56 | Tmax = 0.061471
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.111078
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = Inf
 HL = 2.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.294101
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 1.541508
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.038025
 HL = 7.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.56 | Tmax = 1.141267
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 1.681972
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = Inf
 HL = 5.000 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 1.015921
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.56 | Tmax = 0.132938
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.117267
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.54 | Tmax = 1.239085
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.55 | Tmax = 1.681972
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.375791
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.117267
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.54 | Tmax = 0.737188
 HL = 5.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.55 | Tmax = 0.494019
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.30 | Tmax = 0.062504
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.002 | alpha = 1.08 | Tmax = 0.067948
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.09 | Tmax = 0.180877
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.27 | Tmax = 0.113680
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.04 | Tmax = 0.283232
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.42 | Tmax = 0.126065
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.42 | Tmax = 0.371178
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 0.300 | alpha = 1.09 | Tmax = 0.079022
 HL = 7.000 | t1//t0 = 150.000 | l1//l0 = 0.030 | alpha = 1.32 | Tmax = Inf
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.00 | Tmax = 0.281268
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.21 | Tmax = 0.214317
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.13 | Tmax = 0.134605
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.007 | alpha = 1.14 | Tmax = 0.131300
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.700 | alpha = 1.11 | Tmax = 0.085544
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.15 | Tmax = 0.063790
 HL = 0.500 | t1//t0 = 200.000 | l1//l0 = 0.010 | alpha = 1.30 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.22 | Tmax = 0.124061
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.12 | Tmax = 0.150517
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.005 | alpha = 1.06 | Tmax = 0.136898
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.41 | Tmax = 0.141800
 HL = 22.000 | t1//t0 = 110.000 | l1//l0 = 0.007 | alpha = 1.15 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.003 | alpha = 1.30 | Tmax = 0.074151
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.06 | Tmax = 0.148791
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.700 | alpha = 1.08 | Tmax = 0.081914
