HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.54 | Tmax = 0.036424
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.54 | Tmax = 0.470893
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.001 | alpha = 1.16 | Tmax = 0.144079
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.23 | Tmax = 0.318268
 HL = 28.000 | t1//t0 = 5.000 | l1//l0 = 0.030 | alpha = 1.52 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.20 | Tmax = 0.076986
 HL = 22.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.55 | Tmax = 3.902795
 HL = 20.000 | t1//t0 = 20.000 | l1//l0 = 0.300 | alpha = 1.36 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.55 | Tmax = 0.405171
 HL = 1.000 | t1//t0 = 50.000 | l1//l0 = 0.002 | alpha = 1.29 | Tmax = Inf
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.50 | Tmax = 0.977226
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.39 | Tmax = 0.064442
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.37 | Tmax = 0.118031
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 0.427673
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.001 | alpha = 1.49 | Tmax = 0.071963
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.002 | alpha = 1.42 | Tmax = 0.123083
 HL = 10.000 | t1//t0 = 2.000 | l1//l0 = 0.003 | alpha = 1.56 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.53 | Tmax = 1.194297
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.46 | Tmax = 0.137687
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.50 | Tmax = 1.640529
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.47 | Tmax = 0.086543
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.49 | Tmax = 0.071743
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.49 | Tmax = 1.722471
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.50 | Tmax = 0.983331
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.020 | alpha = 1.52 | Tmax = 1.364778
 HL = 0.500 | t1//t0 = 70.000 | l1//l0 = 0.001 | alpha = 1.36 | Tmax = Inf
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.14 | Tmax = 0.293399
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.030 | alpha = 1.45 | Tmax = 0.135130
 HL = 0.200 | t1//t0 = 9.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.159599
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.002 | alpha = 1.06 | Tmax = 0.148791
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = 0.243821
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.36 | Tmax = 0.155689
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.08 | Tmax = 0.077560
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 0.300 | alpha = 1.08 | Tmax = 0.062862
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = 0.287515
 HL = 0.500 | t1//t0 = 140.000 | l1//l0 = 0.300 | alpha = 1.18 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.007 | alpha = 1.27 | Tmax = 0.107327
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.020 | alpha = 1.03 | Tmax = 0.062974
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.39 | Tmax = 0.138560
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.41 | Tmax = 0.066072
 HL = 18.000 | t1//t0 = 110.000 | l1//l0 = 0.050 | alpha = 1.03 | Tmax = Inf
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.53 | Tmax = 0.603633
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.37 | Tmax = 0.090706
 HL = 0.200 | t1//t0 = 18.000 | l1//l0 = 0.700 | alpha = 1.03 | Tmax = 0.061127
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.020 | alpha = 1.08 | Tmax = 0.149230
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.050 | alpha = 1.10 | Tmax = 0.164172
 HL = 2.000 | t1//t0 = 60.000 | l1//l0 = 0.007 | alpha = 1.19 | Tmax = Inf
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.26 | Tmax = 0.281326
 HL = 18.000 | t1//t0 = 2.000 | l1//l0 = 0.010 | alpha = 1.55 | Tmax = 3.614243
 HL = 15.000 | t1//t0 = 40.000 | l1//l0 = 0.100 | alpha = 1.42 | Tmax = Inf
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.020 | alpha = 1.06 | Tmax = 0.137976
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.30 | Tmax = 0.074085
 HL = 2.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.42 | Tmax = 0.462808
 HL = 1.000 | t1//t0 = 30.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = Inf
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.23 | Tmax = 0.122440
 HL = 0.200 | t1//t0 = 210.000 | l1//l0 = 0.005 | alpha = 1.39 | Tmax = Inf
 HL = 1.000 | t1//t0 = 170.000 | l1//l0 = 0.010 | alpha = 1.36 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.17 | Tmax = 0.063940
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.100 | alpha = 1.12 | Tmax = 0.148950
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.003 | alpha = 1.09 | Tmax = 0.162763
 HL = 5.000 | t1//t0 = 60.000 | l1//l0 = 0.005 | alpha = 1.53 | Tmax = Inf
